taxon,tv,ffg
Aeshnidae,3,PR
Ameletidae,1,CG
Apataniidae,3,SC
Asellidae,8,CG
Athericidae,2,PR
Baetidae,4,CG
Brachycentridae,2,CG
Calopterygidae,5,PR
Capniidae,1,SH
Ceratopogonidae,6,PR
Chaoboridae,7,PR
Chironomidae,6,CG
Chloroperlidae,1,PR
Coenagrionidae,8,PR
Cordulegastridae,4,PR
Corydalidae,5,PR
Crambidae,4,SH
Dixidae,3,CG
Dryopidae,5,SH
Dytiscidae,5,PR
Elmidae,4,SC
Empididae,6,PR
Ephemerellidae,4,CG
Ephemeridae,4,CG
Glossosomatidae,1,SC
Goeridae,1,SC
Gomphidae,6,PR
Haliplidae,7,SH
Heptageniidae,4,SC
Hydracarina,6,PR
Hydrophilidae,5,PR
Hydropsychidae,6,CF
Hydroptilidae,6,SC
Hyrdophilidae,5,PR
Isonychiidae,2,CF
Lepidostomatidae,1,SH
Leptophlebiidae,2,CG
Leuctridae,0,SH
Libellulidae,8,PR
Limnephilidae,4,SH
Muscidae,6,PR
Nemouridae,2,SH
Oligochaeta,6,CG
Pelecorhynchidae,5,PR
Peltoperlidae,2,SH
Perlidae,1,PR
Perlodidae,2,PR
Philopotamidae,3,CF
Phoridae,6,CG
Phryageneidae,4,SH
Physidae,8,SC
Planorbidae,7,SC
Pleuroceridae,5,SC
Polycentropodidae,4,CF
Psephenidae,4,SC
Psychomyiidae,2,CG
Pteronarcyidae,2,SH
Rhyacophilidae,0,PR
Sciomyzidae,6,PR
Sialidae,6,PR
Simuliidae,3,CF
Sisyridae,1,PR
Stratiomyidae,7,CG
Tabanidae,6,PR
Taeniopterygidae,2,SH
Tipulidae,3,SH
Uenoidae,2,SC
