START,END,Season,Stream.x,SIM.j,SIM.b,dis.simm
CRO1,CRO2,Fall,CRO (R),0.98245614,0.935192704,150
CRO1,CRO3,Fall,CRO (R),1,0.894288067,520
CRO1,CRO4,Fall,CRO (R),1,0.903099475,890
CRO1,CRO5,Fall,CRO (R),0.966101695,0.870058219,1275
CRO1,CRO6,Fall,CRO (R),0.966101695,0.86264501,1710
CRO1,CRO7,Fall,CRO (R),0.966101695,0.869984217,2050
CRO2,CRO1,Fall,CRO (R),0.98245614,0.935192704,150
CRO2,CRO3,Fall,CRO (R),0.98245614,0.94712792,370
CRO2,CRO4,Fall,CRO (R),0.98245614,0.922782863,740
CRO2,CRO5,Fall,CRO (R),0.949152542,0.87650757,1125
CRO2,CRO6,Fall,CRO (R),0.949152542,0.868661109,1560
CRO2,CRO7,Fall,CRO (R),0.949152542,0.882279809,1900
CRO3,CRO2,Fall,CRO (R),0.98245614,0.94712792,370
CRO3,CRO4,Fall,CRO (R),1,0.920488944,370
CRO3,CRO5,Fall,CRO (R),0.966101695,0.869468943,755
CRO3,CRO6,Fall,CRO (R),0.966101695,0.864139505,1190
CRO3,CRO7,Fall,CRO (R),0.966101695,0.873678943,1530
CRO4,CRO3,Fall,CRO (R),1,0.920488944,370
CRO4,CRO5,Fall,CRO (R),0.966101695,0.906219121,385
CRO4,CRO6,Fall,CRO (R),0.966101695,0.872777893,820
CRO4,CRO7,Fall,CRO (R),0.966101695,0.876934952,1160
CRO5,CRO4,Fall,CRO (R),0.966101695,0.906219121,385
CRO5,CRO6,Fall,CRO (R),1,0.880375689,435
CRO5,CRO7,Fall,CRO (R),1,0.924013166,775
CRO6,CRO5,Fall,CRO (R),1,0.880375689,435
CRO6,CRO7,Fall,CRO (R),1,0.887739191,340
CRO7,CRO6,Fall,CRO (R),1,0.887739191,340
EAS1,EAS2,Fall,EAS (R),0.949152542,0.903494404,300
EAS1,EAS3,Fall,EAS (R),1,0.918612069,605
EAS1,EAS4,Fall,EAS (R),1,0.877938466,860
EAS1,EAS5,Fall,EAS (R),1,0.920488335,1185
EAS1,EAS6,Fall,EAS (R),0.98245614,0.919058678,1505
EAS1,EAS7,Fall,EAS (R),1,0.906618277,1850
EAS1,EAS8,Fall,EAS (R),0.98245614,0.905896226,2135
EAS2,EAS1,Fall,EAS (R),0.949152542,0.903494404,300
EAS2,EAS3,Fall,EAS (R),0.949152542,0.916837536,305
EAS2,EAS4,Fall,EAS (R),0.949152542,0.917834589,560
EAS2,EAS5,Fall,EAS (R),0.949152542,0.907813963,885
EAS2,EAS6,Fall,EAS (R),0.966101695,0.876394521,1205
EAS2,EAS7,Fall,EAS (R),0.949152542,0.936415173,1550
EAS2,EAS8,Fall,EAS (R),0.966101695,0.936493397,1835
EAS3,EAS2,Fall,EAS (R),0.949152542,0.916837536,305
EAS3,EAS4,Fall,EAS (R),1,0.917979117,255
EAS3,EAS5,Fall,EAS (R),1,0.902127302,580
EAS3,EAS6,Fall,EAS (R),0.98245614,0.905539784,900
EAS3,EAS7,Fall,EAS (R),1,0.914688564,1245
EAS3,EAS8,Fall,EAS (R),0.98245614,0.9327047,1530
EAS4,EAS3,Fall,EAS (R),1,0.917979117,255
EAS4,EAS5,Fall,EAS (R),1,0.876229981,325
EAS4,EAS6,Fall,EAS (R),0.98245614,0.844036447,645
EAS4,EAS7,Fall,EAS (R),1,0.880931461,990
EAS4,EAS8,Fall,EAS (R),0.98245614,0.903709014,1275
EAS5,EAS4,Fall,EAS (R),1,0.876229981,325
EAS5,EAS6,Fall,EAS (R),0.98245614,0.922739201,320
EAS5,EAS7,Fall,EAS (R),1,0.944395492,665
EAS5,EAS8,Fall,EAS (R),0.98245614,0.905088367,950
EAS6,EAS5,Fall,EAS (R),0.98245614,0.922739201,320
EAS6,EAS7,Fall,EAS (R),0.98245614,0.912411617,345
EAS6,EAS8,Fall,EAS (R),1,0.908702752,630
EAS7,EAS6,Fall,EAS (R),0.98245614,0.912411617,345
EAS7,EAS8,Fall,EAS (R),0.98245614,0.931011828,285
EAS8,EAS7,Fall,EAS (R),0.98245614,0.931011828,285
FRY1,FRY2,Fall,FRY (MI),1,0.89880543,320
FRY1,FRY3,Fall,FRY (MI),0.98245614,0.903718774,615
FRY1,FRY4,Fall,FRY (MI),0.98245614,0.865023351,940
FRY1,FRY5,Fall,FRY (MI),0.947368421,0.794939475,1305
FRY1,FRY6,Fall,FRY (MI),0.894736842,0.829635874,1755
FRY1,FRY7,Fall,FRY (MI),1,0.836525231,2095
FRY2,FRY1,Fall,FRY (MI),1,0.89880543,320
FRY2,FRY3,Fall,FRY (MI),0.98245614,0.917151987,295
FRY2,FRY4,Fall,FRY (MI),0.98245614,0.936972532,620
FRY2,FRY5,Fall,FRY (MI),0.947368421,0.860749176,985
FRY2,FRY6,Fall,FRY (MI),0.894736842,0.872566565,1435
FRY2,FRY7,Fall,FRY (MI),1,0.88838821,1775
FRY3,FRY2,Fall,FRY (MI),0.98245614,0.917151987,295
FRY3,FRY4,Fall,FRY (MI),1,0.918787592,325
FRY3,FRY5,Fall,FRY (MI),0.964285714,0.852885787,690
FRY3,FRY6,Fall,FRY (MI),0.877192982,0.881946024,1140
FRY3,FRY7,Fall,FRY (MI),0.98245614,0.898278301,1480
FRY4,FRY3,Fall,FRY (MI),1,0.918787592,325
FRY4,FRY5,Fall,FRY (MI),0.964285714,0.904767528,365
FRY4,FRY6,Fall,FRY (MI),0.877192982,0.909535621,815
FRY4,FRY7,Fall,FRY (MI),0.98245614,0.926310885,1155
FRY5,FRY4,Fall,FRY (MI),0.964285714,0.904767528,365
FRY5,FRY6,Fall,FRY (MI),0.909090909,0.887547967,450
FRY5,FRY7,Fall,FRY (MI),0.947368421,0.930424277,790
FRY6,FRY5,Fall,FRY (MI),0.909090909,0.887547967,450
FRY6,FRY7,Fall,FRY (MI),0.894736842,0.920091929,340
FRY7,FRY6,Fall,FRY (MI),0.894736842,0.920091929,340
LLW1,LLW2,Fall,LLW (MI),0.881355932,0.90971562,550
LLW1,LLW3,Fall,LLW (MI),0.912280702,0.89352015,810
LLW1,LLW4,Fall,LLW (MI),0.912280702,0.836962617,1310
LLW1,LLW5,Fall,LLW (MI),0.945454545,0.805909731,1560
LLW1,LLW6,Fall,LLW (MI),0.881355932,0.711070985,1950
LLW2,LLW1,Fall,LLW (MI),0.881355932,0.90971562,550
LLW2,LLW3,Fall,LLW (MI),0.966101695,0.920934998,260
LLW2,LLW4,Fall,LLW (MI),0.966101695,0.840273699,760
LLW2,LLW5,Fall,LLW (MI),0.93220339,0.840282458,1010
LLW2,LLW6,Fall,LLW (MI),1,0.737676475,1400
LLW3,LLW2,Fall,LLW (MI),0.966101695,0.920934998,260
LLW3,LLW4,Fall,LLW (MI),1,0.846802998,500
LLW3,LLW5,Fall,LLW (MI),0.964912281,0.85380642,750
LLW3,LLW6,Fall,LLW (MI),0.966101695,0.717093119,1140
LLW4,LLW3,Fall,LLW (MI),1,0.846802998,500
LLW4,LLW5,Fall,LLW (MI),0.964912281,0.824330222,250
LLW4,LLW6,Fall,LLW (MI),0.966101695,0.719967848,640
LLW5,LLW4,Fall,LLW (MI),0.964912281,0.824330222,250
LLW5,LLW6,Fall,LLW (MI),0.93220339,0.804778338,390
LLW6,LLW5,Fall,LLW (MI),0.93220339,0.804778338,390
ROL1,ROL2,Fall,ROL (MI),0.93220339,0.902459736,137
ROL1,ROL3,Fall,ROL (MI),1,0.85582063,335
ROL1,ROL4,Fall,ROL (MI),1,0.834743402,730
ROL1,ROL5,Fall,ROL (MI),0.894736842,0.863707691,1040
ROL1,ROL6,Fall,ROL (MI),0.894736842,0.866406087,1290
ROL2,ROL1,Fall,ROL (MI),0.93220339,0.902459736,137
ROL2,ROL3,Fall,ROL (MI),0.93220339,0.853966393,198
ROL2,ROL4,Fall,ROL (MI),0.93220339,0.83589506,593
ROL2,ROL5,Fall,ROL (MI),0.894736842,0.872581437,903
ROL2,ROL6,Fall,ROL (MI),0.894736842,0.830701165,1153
ROL3,ROL2,Fall,ROL (MI),0.93220339,0.853966393,198
ROL3,ROL4,Fall,ROL (MI),1,0.892057129,395
ROL3,ROL5,Fall,ROL (MI),0.894736842,0.878528896,310
ROL3,ROL6,Fall,ROL (MI),0.894736842,0.815962649,955
ROL4,ROL3,Fall,ROL (MI),1,0.892057129,395
ROL4,ROL5,Fall,ROL (MI),0.894736842,0.933002567,325
ROL4,ROL6,Fall,ROL (MI),0.894736842,0.86695582,560
