,START,END,Season,Stream,SIM,dis.simm,Stream_Type
1,CRO-1,CRO-2,Fall,CRO (R),0.802850356,150,Reference 1
2,CRO-1,CRO-3,Fall,CRO (R),0.776583035,520,Reference 1
3,CRO-1,CRO-4,Fall,CRO (R),0.725748503,890,Reference 1
4,CRO-1,CRO-5,Fall,CRO (R),0.672330097,1275,Reference 1
5,CRO-1,CRO-6,Fall,CRO (R),0.603174603,1710,Reference 1
6,CRO-1,CRO-7,Fall,CRO (R),0.654956085,2050,Reference 1
7,CRO-2,CRO-1,Fall,CRO (R),0.802850356,150,Reference 1
8,CRO-2,CRO-3,Fall,CRO (R),0.873969376,370,Reference 1
9,CRO-2,CRO-4,Fall,CRO (R),0.776859504,740,Reference 1
10,CRO-2,CRO-5,Fall,CRO (R),0.755980861,1125,Reference 1
11,CRO-2,CRO-6,Fall,CRO (R),0.684563758,1560,Reference 1
12,CRO-2,CRO-7,Fall,CRO (R),0.674907293,1900,Reference 1
13,CRO-3,CRO-2,Fall,CRO (R),0.873969376,370,Reference 1
14,CRO-3,CRO-4,Fall,CRO (R),0.817102138,370,Reference 1
15,CRO-3,CRO-5,Fall,CRO (R),0.78700361,755,Reference 1
16,CRO-3,CRO-6,Fall,CRO (R),0.690663667,1190,Reference 1
17,CRO-3,CRO-7,Fall,CRO (R),0.71641791,1530,Reference 1
18,CRO-4,CRO-3,Fall,CRO (R),0.817102138,370,Reference 1
19,CRO-4,CRO-5,Fall,CRO (R),0.788902292,385,Reference 1
20,CRO-4,CRO-6,Fall,CRO (R),0.701240135,820,Reference 1
21,CRO-4,CRO-7,Fall,CRO (R),0.743142145,1160,Reference 1
22,CRO-5,CRO-4,Fall,CRO (R),0.788902292,385,Reference 1
23,CRO-5,CRO-6,Fall,CRO (R),0.773972603,435,Reference 1
24,CRO-5,CRO-7,Fall,CRO (R),0.753476612,775,Reference 1
25,CRO-6,CRO-5,Fall,CRO (R),0.773972603,435,Reference 1
26,CRO-6,CRO-7,Fall,CRO (R),0.706713781,340,Reference 1
27,CRO-7,CRO-6,Fall,CRO (R),0.706713781,340,Reference 1
28,EAS-1,EAS-2,Fall,EAS (R),0.818181818,300,Reference 2
29,EAS-1,EAS-3,Fall,EAS (R),0.840909091,605,Reference 2
30,EAS-1,EAS-4,Fall,EAS (R),0.828675577,860,Reference 2
31,EAS-1,EAS-5,Fall,EAS (R),0.834183673,1185,Reference 2
32,EAS-1,EAS-6,Fall,EAS (R),0.785894207,1505,Reference 2
33,EAS-1,EAS-7,Fall,EAS (R),0.77394636,1850,Reference 2
34,EAS-1,EAS-8,Fall,EAS (R),0.787286064,2135,Reference 2
35,EAS-2,EAS-1,Fall,EAS (R),0.818181818,300,Reference 2
36,EAS-2,EAS-3,Fall,EAS (R),0.817518248,305,Reference 2
37,EAS-2,EAS-4,Fall,EAS (R),0.813599062,560,Reference 2
38,EAS-2,EAS-5,Fall,EAS (R),0.815724816,885,Reference 2
39,EAS-2,EAS-6,Fall,EAS (R),0.776699029,1205,Reference 2
40,EAS-2,EAS-7,Fall,EAS (R),0.777367774,1550,Reference 2
41,EAS-2,EAS-8,Fall,EAS (R),0.775943396,1835,Reference 2
42,EAS-3,EAS-2,Fall,EAS (R),0.817518248,305,Reference 2
43,EAS-3,EAS-4,Fall,EAS (R),0.897404203,255,Reference 2
44,EAS-3,EAS-5,Fall,EAS (R),0.877922078,580,Reference 2
45,EAS-3,EAS-6,Fall,EAS (R),0.825641026,900,Reference 2
