START,END,Season,Stream,SIM
CRO1,CRO1,Fall,CRO,1
CRO1,CRO2,Fall,CRO,0.98245614
CRO1,CRO3,Fall,CRO,1
CRO1,CRO4,Fall,CRO,1
CRO1,CRO5,Fall,CRO,0.966101695
CRO1,CRO6,Fall,CRO,0.966101695
CRO1,CRO7,Fall,CRO,0.966101695
CRO2,CRO1,Fall,CRO,0.98245614
CRO2,CRO2,Fall,CRO,1
CRO2,CRO3,Fall,CRO,0.98245614
CRO2,CRO4,Fall,CRO,0.98245614
CRO2,CRO5,Fall,CRO,0.949152542
CRO2,CRO6,Fall,CRO,0.949152542
CRO2,CRO7,Fall,CRO,0.949152542
CRO3,CRO2,Fall,CRO,0.98245614
CRO3,CRO3,Fall,CRO,1
CRO3,CRO4,Fall,CRO,1
CRO3,CRO5,Fall,CRO,0.966101695
CRO3,CRO6,Fall,CRO,0.966101695
CRO3,CRO7,Fall,CRO,0.966101695
CRO4,CRO3,Fall,CRO,1
CRO4,CRO4,Fall,CRO,1
CRO4,CRO5,Fall,CRO,0.966101695
CRO4,CRO6,Fall,CRO,0.966101695
CRO4,CRO7,Fall,CRO,0.966101695
CRO5,CRO4,Fall,CRO,0.966101695
CRO5,CRO5,Fall,CRO,1
CRO5,CRO6,Fall,CRO,1
CRO5,CRO7,Fall,CRO,1
CRO6,CRO5,Fall,CRO,1
CRO6,CRO6,Fall,CRO,1
CRO6,CRO7,Fall,CRO,1
CRO7,CRO6,Fall,CRO,1
CRO7,CRO7,Fall,CRO,1
EAS1,EAS1,Fall,EAS,1
EAS1,EAS2,Fall,EAS,0.949152542
EAS1,EAS3,Fall,EAS,1
EAS1,EAS4,Fall,EAS,1
EAS1,EAS5,Fall,EAS,1
EAS1,EAS6,Fall,EAS,0.98245614
EAS1,EAS7,Fall,EAS,1
EAS1,EAS8,Fall,EAS,0.98245614
EAS2,EAS1,Fall,EAS,0.949152542
EAS2,EAS2,Fall,EAS,1
EAS2,EAS3,Fall,EAS,0.949152542
EAS2,EAS4,Fall,EAS,0.949152542
EAS2,EAS5,Fall,EAS,0.949152542
EAS2,EAS6,Fall,EAS,0.966101695
EAS2,EAS7,Fall,EAS,0.949152542
EAS2,EAS8,Fall,EAS,0.966101695
EAS3,EAS2,Fall,EAS,0.949152542
EAS3,EAS3,Fall,EAS,1
EAS3,EAS4,Fall,EAS,1
EAS3,EAS5,Fall,EAS,1
EAS3,EAS6,Fall,EAS,0.98245614
EAS3,EAS7,Fall,EAS,1
EAS3,EAS8,Fall,EAS,0.98245614
EAS4,EAS3,Fall,EAS,1
EAS4,EAS4,Fall,EAS,1
EAS4,EAS5,Fall,EAS,1
EAS4,EAS6,Fall,EAS,0.98245614
EAS4,EAS7,Fall,EAS,1
EAS4,EAS8,Fall,EAS,0.98245614
EAS5,EAS4,Fall,EAS,1
EAS5,EAS5,Fall,EAS,1
EAS5,EAS6,Fall,EAS,0.98245614
EAS5,EAS7,Fall,EAS,1
EAS5,EAS8,Fall,EAS,0.98245614
EAS6,EAS5,Fall,EAS,0.98245614
EAS6,EAS6,Fall,EAS,1
EAS6,EAS7,Fall,EAS,0.98245614
EAS6,EAS8,Fall,EAS,1
EAS7,EAS6,Fall,EAS,0.98245614
EAS7,EAS7,Fall,EAS,1
EAS7,EAS8,Fall,EAS,0.98245614
EAS8,EAS7,Fall,EAS,0.98245614
EAS8,EAS8,Fall,EAS,1
FRY1,FRY1,Fall,FRY,1
FRY1,FRY2,Fall,FRY,1
FRY1,FRY3,Fall,FRY,0.98245614
FRY1,FRY4,Fall,FRY,0.98245614
FRY1,FRY5,Fall,FRY,0.947368421
FRY1,FRY6,Fall,FRY,0.894736842
FRY1,FRY7,Fall,FRY,1
FRY2,FRY1,Fall,FRY,1
FRY2,FRY2,Fall,FRY,1
