rownames,CRO,,EAS,,FRY,,LLW,,ROL,,SPC,
Metric,Reference 1,,Reference 2,,Mining Influenced 1,,Mining Influenced 2,,Mining Influenced 3,,Mining Influenced 4,
,cor,p,cor,p,cor,p,cor,p,cor,p,cor,p
Hshannon,-0.071,0.879,-0.357,0.385,-0.143,0.76,-0.829,0.042,0.029,0.957,0.393,0.383
Hsimpson,-0.5,0.253,-0.357,0.385,-0.107,0.819,-0.829,0.042,0.314,0.544,0.25,0.589
J,-0.321,0.482,-0.667,0.071,-0.321,0.482,-0.829,0.042,0.086,0.872,0.25,0.589
p1dom,-0.107,0.819,-0.5,0.207,-0.25,0.589,0.2,0.704,0.486,0.329,0.342,0.452
p2dom,-0.107,0.819,-0.5,0.207,-0.25,0.589,0.2,0.704,0.486,0.329,0.342,0.452
p5dom,-0.107,0.819,-0.5,0.207,-0.25,0.589,0.2,0.704,0.486,0.329,0.342,0.452
pBurrow,-0.143,0.76,0.429,0.289,-0.036,0.939,0.486,0.329,0.543,0.266,0.714,0.071
pCF,-0.286,0.535,-0.476,0.233,0.5,0.253,0.086,0.872,-0.486,0.329,-0.143,0.76
pCG,-0.357,0.432,0.19,0.651,-0.857,0.014,0.714,0.111,0.6,0.208,0.536,0.215
pChi,-0.321,0.482,0.262,0.531,-0.27,0.558,0.486,0.329,0.771,0.072,0.107,0.819
pChiO,-0.179,0.702,0.262,0.531,-0.786,0.036,0.486,0.329,0.771,0.072,0.393,0.383
pCling,-0.536,0.215,-0.69,0.058,0.342,0.452,-0.771,0.072,-0.771,0.072,-0.321,0.482
pD,0.107,0.819,0.429,0.289,0,1,0.6,0.208,0.543,0.266,0.429,0.337
pE,0.393,0.383,0.048,0.911,-0.107,0.819,0.029,0.957,-0.986,0.00031,-0.306,0.504
pE.less.B,0.393,0.383,-0.071,0.867,-0.107,0.819,0.152,0.774,-0.986,0.00031,-0.607,0.148
pEPT,0.5,0.253,-0.071,0.867,0.071,0.879,-0.257,0.623,0.086,0.872,-0.286,0.535
pEPT.less.Cheum,0.5,0.253,0.024,0.955,0.036,0.939,-0.257,0.623,0.086,0.872,-0.071,0.879
pEPT.less.H,0.571,0.18,-0.071,0.867,0.143,0.76,-0.657,0.156,0.771,0.072,-0.107,0.819
pEPT.less.HBL,0.321,0.482,0,1,0.143,0.76,0.029,0.957,0.943,0.005,-0.143,0.76
pOligo,0.214,0.645,-0.289,0.488,-0.637,0.124,0.6,0.208,0.143,0.787,0.296,0.518
pP,0.321,0.482,-0.381,0.352,0.143,0.76,-0.943,0.005,0.257,0.623,0.357,0.432
pP.less.Allo,0.25,0.589,-0.381,0.352,0.143,0.76,-0.943,0.005,0.257,0.623,0.071,0.879
pP.less.Amph,0.321,0.482,-0.381,0.352,0.143,0.76,-0.943,0.005,0.257,0.623,0.357,0.432
pP.less.LAA,-0.357,0.432,-0.381,0.352,0.25,0.589,-0.257,0.623,0.771,0.072,0.25,0.589
pP.less.Leuc,-0.179,0.702,-0.381,0.352,0.25,0.589,-0.486,0.329,0.886,0.019,0.107,0.819
pPR,-0.357,0.432,0.108,0.799,0.357,0.432,-0.6,0.208,0.486,0.329,-0.321,0.482
pPT.H,0.786,0.036,-0.241,0.565,0.143,0.76,-1,0,0.771,0.072,0.286,0.535
pSC,0.071,0.879,-0.06,0.888,-0.321,0.482,-0.771,0.072,-0.543,0.266,0.143,0.76
pSC.less.E,-0.714,0.071,-0.238,0.57,-0.607,0.148,-0.829,0.042,-0.029,0.957,0.179,0.702
pSH,0.714,0.071,-0.31,0.456,0.036,0.939,-0.029,0.957,0.314,0.544,0.107,0.819
pSprawl,0.429,0.337,0.905,0.002,0.107,0.819,-0.696,0.125,0.943,0.005,-0.143,0.76
pSwimm,0.607,0.148,0.81,0.015,-0.075,0.873,0.406,0.425,-0.339,0.51,0.054,0.908
pT,-0.286,0.535,-0.287,0.49,0.321,0.482,0.371,0.468,0.116,0.827,-0.429,0.337
pT.less.H,0.5,0.253,0.167,0.693,0.179,0.702,0.086,0.872,0.943,0.005,-0.286,0.535
pTOL,0.236,0.61,0.577,0.134,NA,NA,0.2,0.704,-0.393,0.441,0.668,0.101
rich,0.342,0.452,0.18,0.67,0.36,0.427,-0.6,0.208,-0.143,0.787,0.954,0.001
rich.Burrow,0.243,0.599,0.2,0.634,-0.219,0.637,-0.03,0.954,0.648,0.164,0.543,0.208
rich.C,0.02,0.967,-0.456,0.256,-0.075,0.873,-0.638,0.173,-0.647,0.165,0.147,0.753
rich.CF,-0.259,0.574,0.088,0.835,0.275,0.55,-0.216,0.681,-0.309,0.552,0.777,0.04
