Metric,F-statistic,p.value,,method,,,,"Top 11 differences in water chem between streams (after redundancy): na.mgl, sc.uScm, cl.mgl, alkalinity.mgl, li.ugl, sr.ugl, ni.ugl, k.mgl, u.ugl, ca.mg, so4.hco3"
na.mgl,39.35,2.02E-07,,Kruskal-Wallis rank sum test,,,,
sc.uScm,39.22,2.14E-07,,,,,,
ac.uScm,38.69,2.74E-07,,,,,,
so4.mgl,38.53,2.95E-07,,,,,,
cl.mgl,38.47,3.03E-07,,,,,,
alkalinity.mgl,38.12,3.57E-07,,,,,,
hco3.mgl,38.12,3.57E-07,,,,,,
li.ugl,37.92,3.92E-07,,,,,,
hardness.mgl,37.65,4.43E-07,,,,,,
sr.ugl,37.56,4.63E-07,,,,,,
ca.mgl,37.54,4.66E-07,,,,,,
mg.mgl,37.52,4.71E-07,,,,,,
ni.ugl,37.05,5.84E-07,,,,,,
k.mgl,36.8,6.56E-07,,,,,,
u.ugl,35.32,1.30E-06,,,,,,
ca.mg,34.86,1.60E-06,,,,,,
so4.hco3,34.12,2.25E-06,,,,,,
ba.ugl,33.65,2.79E-06,,,,,,
se.ugl,30.9,9.79E-06,,,,,,
cu.ugl,30.64,1.10E-05,,,,,,
mn.ugl,29.93,1.52E-05,,,,,,
no2no3.n.mgl,29.83,1.60E-05,,,,,,
v.ugl,29.75,1.65E-05,,,,,,
ti.ugl,29.56,1.80E-05,,,,,,
npoc.mgl,28.29,3.20E-05,,,,,,
co.ugl,28.16,3.38E-05,,,,,,
cd.ugl,28.05,3.56E-05,,,,,,
as.ugl,26.95,5.83E-05,,,,,,
zn.ugl,26.68,6.58E-05,,,,,,
fe.ugl,24.4,0.000181835,,,,,,
al.ugl,22.48,0.00042455,,,,,,
do.mgl,21.99,0.000524972,,,,,,
temp.C,18.83,0.0020671,,,,,,
cr.ugl,18.61,0.002268217,,,,,,
ph,17.67,0.003395079,,,,,,
ortho.po4.p.mgl,15.05,0.010159049,,,,,,
tn.mgl,12.9,0.02428991,,,,,,
tp.mgl,12.27,0.031296231,,,,,,
nh3.n.mgl,7.91,0.161298712,,,,,,
pb.ugl,6,0.306218918,,,,,,
ag.ugl,5,0.415880187,,,,,,
mo.ugl,5,0.415880187,,,,,,
