Stream,Site,sample.year,season,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3-n.mgl,no2no3-n.mgl,ortho.po4-p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl,ca.mg,so4.hco3
CRO (R),CRO1,2021,Fall,7.4,7.2,16.1,79,58,26.1,30.9,0.34,0.005,0.01,0.16,0.01,1.43,1.25,7.66,0,31.79,2.82,3.64,1.87,6.4,0.7,3.53,0.34,0.07,0.08,0.285,2.18,0.03,0.03,0.22,18.92,0.001,0.59,44.39,0.001,0.001,0.005,0.01,33.14,0.002,0.01,1.758241758,0.240956276
CRO (R),CRO2,2021,Fall,7.4,8.11,14.9,76,61,28.2,32.2,0.4,0.005,0.005,0.15,0.005,1.58,1.3,7.78,0,34.37,2.79,3.7,1.85,6.83,0.89,5.21,0.23,0.1,0.08,0.285,1.73,0.03,0.1,0.28,9.31,0.001,0.47,51.18,0.001,0.001,0.005,0.01,36.84,0.002,0.01,1.845945946,0.226360198
CRO (R),CRO3,2021,Fall,8,7.53,14.7,77,61,31.9,35.9,0.42,0.005,0.01,0.15,0.005,2.03,1.38,6.54,0,38.86,2.99,3.96,1.88,7.86,0.71,7.14,0.36,0.09,0.14,36.75,5.2,0.05,0.14,0.28,30.74,0.01,0.69,49.7,0.001,0.001,0.005,0.01,34.12,0.002,0.01,1.984848485,0.168296449
CRO (R),CRO4,2021,Fall,7.2,7.37,14.7,82,66,38.1,40.2,0.38,0.02,0.01,0.08,0.01,2.15,1.04,5.56,0,46.42,3.51,4.33,1.76,8.97,1.72,4.89,0.32,0.07,0.15,232.39,58.86,0.18,0.17,0.19,9.04,0.1,0.54,74.55,0.001,0.001,0.005,0.01,60.23,0.002,0.01,2.071593533,0.119775959
CRO (R),CRO5,2021,Fall,6.6,7.31,15.1,90,73,32.7,36,0.45,0.01,0.02,0.16,0.01,1.97,0.99,6.44,0,39.87,3,3.93,1.74,7.96,1.04,4.21,0.33,0.06,0.13,257.22,91.84,0.29,0.13,0.14,20.4,0.1,0.64,52.37,0.001,0.001,0.005,0.01,45.47,0.002,0.01,2.025445293,0.161524956
CRO (R),CRO6,2021,Fall,6.4,7.48,15.2,85,69,14.8,18.9,0.57,0.01,0.01,0.18,0.005,1.37,0.77,7.25,0,18,2.3,2.34,1.51,3.73,0.36,10.82,0.38,0.07,0.17,96.4,17.56,0.13,0.16,0.23,22.36,0.08,0.38,25.41,0.001,0.001,0.005,0.01,22.01,0.002,0.0005,1.594017094,0.402777778
CRO (R),CRO7,2021,Fall,8,7.3,15.5,51,41,24.8,29.2,0.32,0.01,0.02,0.16,0.01,1.7,1.24,7.4,0,30.23,2.71,3.46,1.91,6.01,0.59,5.88,0.29,0.06,0.12,4.1,5.42,0.05,0.07,0.23,28.24,0.001,0.5,42.16,0.001,0.001,0.005,0.01,32.17,0.002,0.0005,1.73699422,0.244789944
EAS (R),EAS1,2021,Fall,8.1,8.67,12.2,24,19,15.6,10.3,0.36,0.01,0.005,0.24,0.005,0.58,0.23,2.41,0,18.99,0.62,0.7,0.4,2.97,0.27,4.52,0.13,0.09,0.15,0.285,0.43,0.01,0.005,0.025,4.25,0.001,1.01,13.89,0.001,0.001,0.005,0.01,13.5,0.002,0.01,4.242857143,0.126908899
EAS (R),EAS2,2021,Fall,8.3,7.8,12.2,25,19,15.5,10.3,0.33,0.005,0.005,0.24,0.005,0.49,0.23,2.4,0,18.91,0.6,0.68,0.38,2.99,0.29,4.67,0.13,0.13,0.15,0.285,0.27,0.01,0.005,0.025,4.44,0.001,0.19,13.81,0.001,0.001,0.005,0.01,12.92,0.002,0.01,4.397058824,0.126916975
EAS (R),EAS3,2021,Fall,8,7.39,12.8,21,16,11.5,8.4,0.39,0.01,0.005,0.27,0.005,0.53,0.22,2.29,0,14.05,0.54,0.64,0.4,2.3,0.29,4.99,0.16,0.12,0.13,0.285,0.34,0.01,0.005,0.025,3.92,0.001,0.8,11.42,0.001,0.001,0.005,0.01,12.66,0.002,0.0005,3.59375,0.162989324
EAS (R),EAS4,2021,Fall,7.7,7.17,13,20,16,11.3,7.9,0.37,0.005,0.02,0.27,0.005,0.62,0.22,2.22,0,13.83,0.52,0.63,0.4,2.13,0.28,5.35,0.13,0.1,0.18,0.285,0.22,0.01,0.005,0.025,3.71,0.001,0.51,10.96,0.001,0.001,0.005,0.01,13.15,0.002,0.0005,3.380952381,0.160520607
EAS (R),EAS5,2021,Fall,7.4,7.2,13,19,15,10.5,7.2,0.38,0.01,0.01,0.25,0.005,0.64,0.25,2.19,0,12.76,0.53,0.59,0.43,1.92,0.31,6.36,0.13,0.1,0.19,0.285,0.49,0.01,0.005,0.025,4.61,0.001,0.5,10.5,0.001,0.001,0.005,0.01,12.85,0.002,0.0005,3.254237288,0.171630094
EAS (R),EAS6,2021,Fall,8,7.09,12.7,18,14,9.6,6.8,0.49,0.04,0.01,0.21,0.005,0.64,0.23,2.24,0,11.72,0.52,0.57,0.37,1.78,0.27,6.96,0.14,0.08,0.15,0.285,0.37,0.01,0.005,0.025,3.15,0.001,0.26,10.04,0.001,0.001,0.005,0.01,11.83,0.002,0.0005,3.122807018,0.19112628
EAS (R),EAS7,2021,Fall,7.8,6.86,12.8,16,12,8.5,5.9,0.3,0.01,0.01,0.18,0.005,0.68,0.23,2.01,0,10.41,0.52,0.55,0.36,1.46,0.31,7.38,0.13,0.06,0.16,0.285,0.6,0.01,0.005,0.025,3.27,0.001,0.22,8.92,0.001,0.001,0.005,0.01,11.01,0.002,0.0005,2.654545455,0.193083573
EAS (R),EAS8,2021,Fall,8,6.73,12.6,15,11,7.3,5.2,0.36,0.02,0.01,0.17,0.005,0.67,0.26,1.95,0,8.94,0.49,0.55,0.36,1.19,0.3,8.54,0.13,0.06,0.17,0.285,0.89,0.01,0.005,0.025,4.05,0.001,0.075,8.15,0.001,0.001,0.005,0.01,10.51,0.002,0.0005,2.163636364,0.218120805
FRY (MI),FRY0,2021,Fall,7.1,7.24,12.4,460,350,115.7,194.6,0.39,0.02,0.02,0.26,0.01,1.34,10.3,116.29,0,141.18,25.49,20.08,2.31,44.91,4.75,3.59,0.33,0.18,0.27,0.285,16.75,0.07,0.22,0.28,4.06,0.1,0.075,501.45,0.001,0.001,0.005,0.01,65.26,0.002,0.38,2.236553785,0.823700241
FRY (MI),FRY1,2021,Fall,8.3,7.58,12.6,468,358,112.1,201.1,0.41,0.02,0.01,0.28,0.01,1.27,10.63,120.87,0,136.76,24.47,20.98,2.37,46.02,4,3.32,0.24,0.18,0.11,0.285,0.35,0.05,0.21,0.25,3.98,0.07,0.19,506.01,0.001,0.001,0.005,0.01,61.58,0.002,0.41,2.193517636,0.883811056
FRY (MI),FRY2,2021,Fall,8.3,7.75,13,480,370,114.1,214.7,0.37,0.01,0.005,0.27,0.01,1.23,10.49,125.74,0,139.2,26.35,22.35,2.49,49.24,4.31,3.61,0.25,0.18,0.13,0.285,0.27,0.06,0.19,0.13,5.51,0.08,1.01,530.73,0.001,0.001,0.005,0.01,63.69,0.002,0.4,2.203131991,0.903304598
FRY (MI),FRY3,2021,Fall,7.4,7.92,13.3,473,368,111.5,213.5,0.39,0.02,0.01,0.54,0.01,1.18,10.76,124.01,0,136.03,24.82,22.1,2.47,49.18,3.7,4.05,0.29,0.2,0.19,0.285,0.82,0.06,0.24,0.15,14.53,0.09,0.57,477.58,0.001,0.001,0.005,0.01,64.88,0.002,0.38,2.225339367,0.911637139
FRY (MI),FRY4,2021,Fall,8,7.92,13.7,490,385,114.4,219.2,0.45,0.02,0.02,0.28,0.01,1.37,10.7,131.51,0,139.59,25.12,22.74,2.47,50.4,4.17,4.38,0.3,0.18,0.16,0.285,0.9,0.06,0.24,0.18,4.71,0.08,0.075,502.48,0.001,0.001,0.005,0.01,65.37,0.002,0.38,2.216358839,0.942116197
