Metric,f.statistic,f.p.value,s.statistic,s.p.value,method
Hshannon,29.10,2.22E-05,35.12,1.42E-06,Kruskal-Wallis rank sum test
Hsimpson,25.98,9.00E-05,34.51,1.88E-06,
rich,28.03,3.59E-05,33.43,3.10E-06,
J,22.42,0.000435608,32.40,4.94E-06,
rich.E,34.54,1.85E-06,33.60,2.86E-06,
rich.P,10.45,0.063444075,22.19,0.000482633,
rich.T,24.48,0.000175455,14.68,0.011821948,
rich.C,14.16,0.014611182,11.79,0.037760297,
rich.D,21.91,0.00054395,23.76,0.000241532,
rich.less.E,21.33,0.000700761,25.58,0.000107551,
rich.EPT,29.18,2.14E-05,32.19,5.44E-06,
rich.T.less.H,26.33,7.70E-05,11.09,0.049617874,
pT.less.H,24.95,0.000142472,23.92,0.000225229,
rich.EPT.less.H,30.11,1.40E-05,33.04,3.69E-06,
pEPT.less.H,30.72,1.06E-05,22.97,0.000341306,
pEPT,27.76,4.06E-05,21.20,0.000742017,
pEPT.less.Cheum,20.18,0.001157475,20.70,0.000922321,
pEPT.less.HBL,33.75,2.67E-06,22.83,0.000363535,
rich.PT,20.42,0.00104168,20.86,0.000861443,
pE,30.41,1.22E-05,34.45,1.93E-06,
rich.E.less.B,34.80,1.65E-06,33.92,2.47E-06,
pE.less.B,35.73,1.07E-06,31.74,6.70E-06,
pP,12.02,0.034518974,29.98,1.48E-05,
pP.less.Leuc,20.94,0.000833078,14.75,0.011494247,
pP.less.Amph,12.02,0.034518974,23.89,0.000227886,
pP.less.Allo,20.95,0.000829435,30.20,1.35E-05,
pP.less.LAA,28.39,3.05E-05,26.64,6.70E-05,
pT,29.93,1.52E-05,12.76,0.025765696,
pPT.H,12.49,0.028687369,27.79,4.00E-05,
pChi,26.35,7.62E-05,17.34,0.003895092,
pD,21.58,0.000628322,22.45,0.000429034,
pOligo,14.42,0.013177356,8.01,0.155935079,
pChiO,27.74,4.09E-05,15.31,0.009125124,
p1dom,7.38,0.193816712,4.73,0.450290087,
p2dom,7.30,0.199403573,4.63,0.462925842,
p5dom,7.30,0.199403573,4.63,0.462925842,
rich.SH,11.60,0.04072111,13.40,0.019924046,
rich.CG,24.09,0.000208194,27.29,5.01E-05,
rich.SC,13.85,0.016579287,26.60,6.81E-05,
rich.SC.less.E,9.49,0.091106669,14.39,0.013329183,
rich.CF,21.73,0.000588736,18.79,0.002103856,
rich.PR,18.55,0.002334411,19.38,0.001633363,
pSH,23.59,0.000260258,31.89,6.24E-06,
pCG,28.42,3.01E-05,23.57,0.000262313,
pSC,12.52,0.02836104,27.78,4.01E-05,
pSC.less.E,9.19,0.101892015,17.84,0.00315639,
pCF,31.16,8.71E-06,7.99,0.156761894,
pPR,19.53,0.001533537,26.43,7.37E-05,
rich.Cling,24.06,0.000211686,25.47,0.000113256,
pCling,23.42,0.000280367,22.74,0.000377985,
rich.Burrow,20.93,0.000834845,24.90,0.000145652,
pBurrow,23.19,0.000309871,17.89,0.003088827,
rich.Sprawl,6.83,0.233779495,9.25,0.09931613,
pSprawl,23.23,0.000305381,32.38,4.99E-06,
rich.Swimm,28.90,2.43E-05,20.20,0.001145695,
pSwimm,30.19,1.35E-05,32.31,5.15E-06,
rich.INT,27.67,4.22E-05,31.20,8.54E-06,
rich.TOL,17.94,0.003023637,18.61,0.002273169,
pTOL,22.21,0.000478611,21.07,0.000787306,
