taxon,tv,ffg,habit
Acentrella,4,CG,SW
Acerpenna,4,SH,SW
Acroneuria,1,PR,CN
Adicrophleps,NA,NA,CN
Agapetus,2,SC,CN
Allocapnia,1,SH,CN
Allognosta,8,CG,SP
Alloperla,1,PR,CN
Ameletus,1,CG,SW
Amphinemura,2,SH,SP
Anchytarsus,4,SH,CN
Ancyronyx,NA,CG,CN
Antocha,4,CG,CN
Apatania,3,SC,CN
Asellus,8,CG,SP
Atherix,2,PR,SP
Atrichopogon,6,PR,CN
Attaneuria,1,PR,CN
Attenella,1,CG,CN
Baetis,2,CG,SW
Baetisca,4,CG,SP
Beloneuria,0,PR,CN
Bezzia.Palpomyia,6,PR,BU
Boyeria,2,PR,CN
Brachycentrus,2,CF,CN
Calopteryx,5,PR,CB
Ceraclea,4,CG,CN
Ceratopsyche,1,CF,CN
Cernotina,4,PR,CN
Chelifera,4,CG,SP
Cheumatopsyche,6,CF,CN
Chimarra,3,CF,CN
Chironomidae,6,CG,BU
Chrysops,8,CG,SP
Cinygmula,1,SC,CN
Clinocera,6,PR,CN
Cordulegaster,4,PR,BU
Cultus,1,PR,CN
Cyrnellus,6,CF,CN
Dasyhelea,6,CG,SP
Dibusa,0,SC,CN
Dicranota,4,PR,SP
Diphetor,4,CG,SW
Diplectrona,6,CF,CN
Diploperla,2,PR,CN
Diura,2,PR,CN
Dixa,1,CG,SW
Dolophilodes,3,CF,CN
Drunella,1,PR,CN
Dubiraphia,4,CG,CN
Eccoptura,3,PR,CN
Ectopria,4,SC,CN
Epeorus,0,SC,CN
Ephemera,4,CG,BU
Ephemerella,2,CG,CN
Euparyphus,NA,CG,SP
Eurylophella,4,SC,CN
Forcipomyia,4,SC,BU
Glossosoma,0,SC,CN
Glutops,NA,PR,NA
Goera,1,SC,CN
Gomphus,2,PR,BU
Habrophlebia,1,NA,SW
Habrophlebiodes,0,SC,SW
Hansonoperla,NA,NA,CN
Haploperla,1,SC,CN
Helichus,4,SC,CN
Hemerodromia,6,PR,SP
Heptagenia,3,SC,CN
Heterocloeon,3,SC,CN
Hexatoma,1,PR,BU
Homoplectra,2,CF,CN
Hydatophylax,2,SH,SP
Hydrochus,6,SH,CN
Hydropsyche,5,CF,CN
Hydroptila,3,SC,CN
Isogenoides,2,PR,CN
Isonychia,2,CF,SW
Isoperla,2,PR,CN
Lanthus,6,PR,BU
Lara,,SH,CN
Lepidostoma,3,SH,CN
Leucrocuta,4,SC,CN
Leuctra,0,SH,CN
Limnophila,4,PR,BU
Limonia,4,SH,BU
Lype,3,SC,CN
Maccaffertium,3,SC,CN
Macronychus,4,CG,CN
Malirekus,2,PR,CN
Mayatrichia,2,SC,CN
Megaselia,6,CG,NA
Micrasema,1,SH,CN
Microvelia,NA,PR,SK
Molophilus,3,SH,BU
Nemoura,1,SH,SP
Neophylax,2,SC,CN
Neoplasta,6,PR,SP
Neotrichia,0,SC,CN
Nigronia,2,PR,CN
Ochrotrichia,4,CG,CN
Oecetis,3,PR,CB-CN
Oemopteryx,3,SH,SP
Oligochaeta,6,CG,BU
Oligostomis,2,PR,CB 
Optioservus,4,SC,CN
Ormosia,4,CG,BU
Ostrocerca,2,SH,SP
Oulimnius,4,SC,CN
Paracapnia,1,SH,SP
Paraleptophlebia,1,CG,SW
Paraleuctra,0,SH,CN
Paranemoura,2,SH,SP
Parapsyche,2,CF,CN
Pedicia,6,PR,BU
Peltoperla,2,SH,CN
Pericoma.Telmatoscopus,7,CG,BU
Perlesta,2,PR,CN
Phanocerus,5,SC,CN
Pilaria,6,PR,BU
Plauditus,5,CG,SW
Polycentropus,4,PR,CN
Prosimulium,7,CF,CN
Prostoia,2,SH,SP
Psephenus,4,SC,CN
Pseudosmittia,NA,NA,NA
Pseudostenophylax,1,CG,SP
Pseudostenophylax,2,SH,SP
Pteronarcys,2,SH,CN
Pycnopsyche,2,SH,SP
Remenus,0,PR,CN
Rhagovella,6,PR,SK
Rhamphomyia,6,PR,SP
Rhyacophila,0,PR,CN
Roederiodes,6,PR,SP
Sialis,6,PR,BU
Simulium,3,CF,CN
Sisyridae,1,PR,SP
Somatochlora,1,PR,SP
Soyedina,2,SH,SP
Stactobiella,5,SH,CN
Stenacron,4,SC,CN
Stenelmis,1,SC,CN
Stenonema,3,SC,CN
Stilobezzia,6,PR,SP
Strophopteryx,2,SH,SP
Stylogomphus,9,PR,BU
Suwallia,0,PR,CN
Sweltsa,0,PR,CN
Tabanus,7,PR,SP
Taeniopteryx,2,SH,SP
Tallaperla,2,SH,CN
Timpanoga,2,CG,CN
Tipula,4,SH,BU
Tipulidae,4,SH,BU
Wormaldia,1,CF,CN
Yugus,2,PR,CN
