,,Reference 1,,Reference 2,,Mining Influenced 1 ,,Mining Influenced 2  ,,Mining Influenced 3,,Mining Influenced 4,,,
,Metric,mean,sd,mean,sd,mean,sd,mean,sd,mean,sd,mean,sd,F-statistic,p value
,div.shan,2.9,0.14,2.78,0.09,2.38,0.11,2.34,0.4,2.29,0.22,2.8,0.15,29.76,1.65E-05
,div.simp,0.92,0.02,0.9,0.01,0.82,0.03,0.83,0.08,0.83,0.05,0.9,0.02,25.59,0.000107206
,even.pielou,0.83,0.03,0.83,0.02,0.73,0.04,0.74,0.1,0.74,0.05,0.82,0.03,22.48,0.0004243
,Hshannon,2.9,0.14,2.78,0.09,2.38,0.11,2.34,0.4,2.29,0.22,2.8,0.15,29.76,1.65E-05
,Hsimpson,0.92,0.02,0.9,0.01,0.82,0.03,0.83,0.08,0.83,0.05,0.9,0.02,25.51,0.000111033
,J,0.83,0.03,0.83,0.02,0.73,0.04,0.74,0.1,0.74,0.05,0.82,0.03,22.48,0.0004243
,p1dom,20.06,1.41,20.43,1.05,19.51,1.35,18.52,1.6,19.53,0.91,19.36,1.21,6.97,0.222798581
,p2dom,34.63,2.44,35.24,1.81,33.63,2.34,31.93,2.79,33.73,1.56,33.4,2.04,6.88,0.230016827
,p5dom,67.71,4.75,68.96,3.56,65.83,4.6,62.5,5.45,65.98,3.07,65.34,4.03,6.88,0.230016827
,pBurrow,25.89,3.6,12.19,5.64,9.14,3.97,20,18.39,27.5,7.7,10.04,2.28,23.85,0.0002322
,pCF,11.4,8.52,32.89,2.78,54.49,4.09,39.5,8.72,39,7.14,40.57,5.85,31.81,6.49E-06
,pCG,24.51,3.09,23.85,4.78,3.2,1.34,12.87,6.38,17.57,7.59,9.87,4.17,30.90,9.81E-06
,pChi,13.47,3.26,10.25,5.5,1.65,0.6,7.15,1.76,7.92,5.15,5.11,1.84,27.34,4.91E-05
,pChiO,14.78,3.55,10.49,5.42,2.31,1.09,8.56,2.55,15.48,7.33,5.89,1.85,28.94,2.38E-05
,pCling,48.34,8.05,74.14,9.73,84.53,3.69,74.23,17.03,66.88,9.24,83.54,4.68,24.60,0.00016613
