Site,Stream,Season,Aeshnidae,Ameletidae,Athericidae,Baetidae,Baetistidae,Brachycentridae,Capniidae,Ceratopogonidae,Chironomidae,Chloroperlidae,Cordulegastridae,Corduliidae,Corydalidae,Dixidae,Elmidae,Empididae,Ephemerellidae,Ephemeridae,Glossosomatidae,Goeridae,Gomphidae,Helophoridae,Heptageniidae,Hydropsychidae,Hydroptilidae,Isonychiidae,Lepidostomatidae,Leptophlebiidae,Leuctridae,Limnephilidae,Nemouridae,Oligochaeta,Pelecorhynchidae,Peltoperlidae,Perlidae,Perlodidae,Philopotamidae,Phoridae,Polycentropodidae,Psephenidae,Psychodidae,Psychomyiidae,Pteronarcyidae,Ptilodactylidae,Rhyacophilidae,Sialidae,Simuliidae,Stratiomyidae,Tabanidae,Taeniopterygidae,Tipulidae,Uenoidae
CRO1,CRO (R),Fall,0,0,0,0,0,0,29,0,16,0,0,0,0,0,30,32,1,0,0,0,5,0,6,46,0,0,0,30,1,0,0,3,0,0,3,4,3,0,3,5,0,0,1,0,1,0,0,0,0,0,16,0
CRO2,CRO (R),Fall,0,0,0,2,0,0,14,0,33,3,0,0,1,0,25,3,0,1,0,0,6,0,6,35,0,0,0,27,0,0,0,0,0,0,1,12,5,0,2,8,0,0,2,1,1,0,0,0,0,0,19,0
CRO3,CRO (R),Fall,0,0,0,1,0,0,19,0,35,1,0,0,0,3,22,24,0,1,0,0,5,0,8,25,0,0,0,22,0,0,1,4,0,0,2,6,3,0,3,19,0,1,2,1,4,0,0,0,0,0,16,0
CRO4,CRO (R),Fall,0,0,0,2,0,0,26,0,24,3,0,0,0,8,12,0,3,1,0,0,0,0,7,19,0,0,1,29,2,0,0,1,0,0,3,3,7,0,4,11,0,0,0,2,1,0,0,0,0,0,33,0
CRO5,CRO (R),Fall,0,0,0,2,0,0,19,0,30,1,1,0,0,1,16,17,6,2,0,0,0,1,2,9,0,0,0,53,13,0,0,5,0,0,1,2,3,0,1,3,0,0,0,5,4,0,0,0,1,0,12,0
CRO6,CRO (R),Fall,0,0,0,0,0,0,19,0,24,0,2,2,3,0,30,0,13,2,1,0,3,0,1,1,0,0,0,25,42,0,2,2,0,0,1,7,0,1,0,2,0,1,0,0,4,0,0,0,3,0,18,4
CRO7,CRO (R),Fall,0,0,0,1,0,0,4,0,26,6,4,0,1,0,8,8,25,2,0,0,1,0,9,5,0,0,0,16,12,0,7,3,0,2,1,1,0,0,1,26,0,0,0,0,4,0,0,0,1,0,8,0
EAS1,EAS (R),Fall,0,0,0,6,0,0,9,0,16,1,0,0,0,0,7,3,2,1,0,0,2,0,22,57,2,0,0,35,3,0,0,0,0,1,4,2,3,0,1,4,0,0,3,0,12,0,0,0,0,0,2,0
EAS2,EAS (R),Fall,0,0,0,3,0,0,6,0,22,3,0,0,0,0,26,27,2,1,0,0,1,0,13,62,7,0,0,23,1,0,0,1,0,0,5,3,3,0,0,5,1,0,0,0,20,0,0,0,0,0,4,0
EAS3,EAS (R),Fall,0,0,0,6,0,0,8,0,28,1,0,0,1,0,9,0,11,0,0,0,0,0,7,60,5,0,0,21,5,0,0,0,0,0,5,7,3,0,0,2,0,0,0,0,10,0,0,0,0,0,2,0
