Stream,dist.d,Site,sample.year,season,do.mgl,temp.C,sc.uScm,hardness.mgl,npoc.mgl,nutrients.pca,elements.pca
CRO (R),2050,CRO1,2022,Spring,11.5,8.6,51,17.5,1.14,1.174959555,-2.304914865
CRO (R),1900,CRO2,2022,Spring,11.3,8.8,54,17.2,1.12,1.46259204,-2.384374526
CRO (R),1530,CRO3,2022,Spring,10.8,8.9,55,17.5,1.1,0.521243209,-2.285540844
CRO (R),1160,CRO4,2022,Spring,11,9.8,55,17.9,1.01,0.692505605,-2.244899476
CRO (R),775,CRO5,2022,Spring,10.7,10.2,53,20.8,1.18,0.461419334,-2.222004667
CRO (R),340,CRO6,2022,Spring,9.9,10.4,50,15.6,1.21,-1.80092911,-1.613445034
CRO (R),0,CRO7,2022,Spring,10,9.8,43,12.2,0.79,-1.393241334,-2.336294577
EAS (R),2500,EAS1,2022,Spring,10.9,9.2,21,7.3,0.43,0.122677658,-2.952061975
EAS (R),2140,EAS2,2022,Spring,11.1,9.3,22,8.1,0.42,0.032993044,-3.344736468
EAS (R),1890,EAS3,2022,Spring,10.6,9.5,18,6.3,0.51,0.458970517,-3.121825212
EAS (R),1565,EAS4,2022,Spring,10.7,9.6,17,5.5,0.51,-0.102968172,-3.097391244
EAS (R),1240,EAS5,2022,Spring,10.7,9.8,16,5.1,0.55,-0.599356508,-2.953933547
EAS (R),1000,EAS6,2022,Spring,10.3,9.8,15,4.9,0.66,0.071368113,-2.982120989
EAS (R),715,EAS7,2022,Spring,10.6,10,14,4.4,0.51,-0.253336527,-2.954952616
EAS (R),385,EAS8,2022,Spring,10.2,10.3,14,4.1,0.64,-1.255522991,-2.858877858
EAS (R),0,EAS9,2022,Spring,10.4,9.3,14,4,0.54,-2.3906652,-2.739775031
FRY (MI),2785,FRY1,2022,Spring,11.3,10,343,133.6,0.96,0.574917986,-0.755054791
FRY (MI),2465,FRY2,2022,Spring,11,10.2,346,132.4,1.25,-2.765587887,-0.808403203
FRY (MI),2170,FRY3,2022,Spring,11.2,10.7,326,126.4,0.94,0.593969426,-1.043573452
FRY (MI),1845,FRY4,2022,Spring,12,11.5,325,127.4,1.16,0.75068933,-0.966662304
FRY (MI),1480,FRY5,2022,Spring,11.1,12.9,312,121.6,0.94,0.866232465,-0.773272495
FRY (MI),1030,FRY6,2022,Spring,10.6,13.7,309,124.6,0.9,0.490925618,-1.189869569
FRY (MI),690,FRY7,2022,Spring,10.4,13,128,38.9,0.96,0.77115729,-1.81649324
FRY (MI),360,FRY8,2022,Spring,10.4,13,120,36.2,0.9,-0.762429281,-2.48488944
FRY (MI),0,FRY9,2022,Spring,10,12.3,61,16.9,0.76,-0.322990174,-2.602285382
LLW (MI),1950,LLW1,2022,Spring,11.5,9.2,907,472.5,1.92,0.014213793,3.678519408
LLW (MI),1400,LLW2,2022,Spring,11.1,10.9,927,491.9,1.41,-0.196182207,3.739957833
LLW (MI),1140,LLW3,2022,Spring,10.3,12.3,1062,573,1.8,0.047603954,4.552071582
LLW (MI),640,LLW4,2022,Spring,10.8,11.9,1105,595,1.85,0.422910801,4.911643044
LLW (MI),390,LLW5,2022,Spring,10.8,10.3,1362,782,1.25,-0.085351791,6.061194639
LLW (MI),0,LLW6,2022,Spring,10.4,11.2,1687,1030.1,1.14,-2.807738337,8.560641574
ROL (MI),1500,ROL1,2022,Spring,11.3,9.1,516,227.1,0.91,0.861519746,0.348347532
ROL (MI),1360,ROL2,2022,Spring,10.7,10.4,620,293.7,0.91,1.27145125,0.655527263
ROL (MI),1160,ROL3,2022,Spring,9.9,11.2,665,324.9,1.1,0.571844097,1.051325711
ROL (MI),765,ROL4,2022,Spring,9.8,12.4,819,420.6,1.23,0.697013234,2.255470436
ROL (MI),455,ROL5,2022,Spring,9.8,14.2,954,515.4,1.21,0.609946977,3.24492591
ROL (MI),205,ROL6,2022,Spring,8.4,13.8,1244,730.6,1.51,-2.673838616,5.493994953
ROL (MI),0,ROL7,2022,Spring,10.8,10.5,1505,953.2,1.35,-4.646001473,6.882167776
SPC (MI),2556,SPC1,2022,Spring,12.5,6.6,379,125.2,1.02,2.047264163,-0.304656463
SPC (MI),2167,SPC2,2022,Spring,12.7,7.5,396,129.9,1.02,2.312953342,-0.217548741
SPC (MI),1793,SPC3,2022,Spring,12.7,7.6,399,148.4,0.99,1.190937105,0.106387071
SPC (MI),1294,SPC4,2022,Spring,11.3,11.7,433,162.6,1.05,0.464491904,0.760675561
SPC (MI),925,SPC5,2022,Spring,10.4,12.3,444,173.5,1.1,0.977062882,0.927399163
SPC (MI),525,SPC6,2022,Spring,10.2,12.3,440,173.4,0.89,0.709512561,1.751123566
SPC (MI),150,SPC7,2022,Spring,10.7,11,403,147.9,0.98,0.468800289,-0.211261469
SPC (MI),0,SPC8,2022,Spring,10.6,10.5,427,160.7,0.95,0.341992322,0.589746454
CRO (R),2050,CRO1,2021,Fall,7.4,16.1,79,30.9,1.43,-0.492081325,-1.868268436
CRO (R),1900,CRO2,2021,Fall,7.4,14.9,76,32.2,1.58,-1.323596236,-2.012551656
CRO (R),1530,CRO3,2021,Fall,8,14.7,77,35.9,2.03,-1.097703033,-1.611848917
CRO (R),1160,CRO4,2021,Fall,7.2,14.7,82,40.2,2.15,0.466327971,-1.336972914
CRO (R),775,CRO5,2021,Fall,6.6,15.1,90,36,1.97,0.398774838,-0.968794843
CRO (R),340,CRO6,2021,Fall,6.4,15.2,85,18.9,1.37,-0.500736328,-1.668110504
CRO (R),0,CRO7,2021,Fall,8,15.5,51,29.2,1.7,0.211999168,-1.640761193
EAS (R),2115,EAS1,2021,Fall,8.1,12.2,24,10.3,0.58,-0.913693208,-3.511513595
EAS (R),1755,EAS2,2021,Fall,8.3,12.2,25,10.3,0.49,-1.295293528,-3.775337718
EAS (R),1505,EAS3,2021,Fall,8,12.8,21,8.4,0.53,-0.827633056,-3.460206847
EAS (R),1180,EAS4,2021,Fall,7.7,13,20,7.9,0.62,-0.603390562,-3.335025274
EAS (R),855,EAS5,2021,Fall,7.4,13,19,7.2,0.64,-0.673480647,-3.298875312
EAS (R),615,EAS6,2021,Fall,8,12.7,18,6.8,0.64,1.458272321,-3.390533946
EAS (R),330,EAS7,2021,Fall,7.8,12.8,16,5.9,0.68,-0.888655028,-3.221644334
EAS (R),0,EAS8,2021,Fall,8,12.6,15,5.2,0.67,-0.139773747,-3.105085085
FRY (MI),2095,FRY1,2021,Fall,8.3,12.6,468,201.1,1.27,0.795817212,-1.052536129
FRY (MI),1775,FRY2,2021,Fall,8.3,13,480,214.7,1.23,-0.150126551,-0.930953153
FRY (MI),1480,FRY3,2021,Fall,7.4,13.3,473,213.5,1.18,1.139385805,-0.803414362
FRY (MI),1155,FRY4,2021,Fall,8,13.7,490,219.2,1.37,1.247603619,-0.985310455
FRY (MI),790,FRY5,2021,Fall,8.3,13.9,509,230.9,1.16,0.598610726,-0.904453958
FRY (MI),340,FRY6,2021,Fall,7.2,14.2,528,255.7,1.21,1.218772898,-0.847114441
FRY (MI),0,FRY7,2021,Fall,7.1,14.9,272,99.8,1.15,1.125690461,-2.558733915
LLW (MI),1950,LLW1,2021,Fall,9.9,12.8,1242,794.8,1.19,0.499010345,4.723626348
LLW (MI),1400,LLW2,2021,Fall,9.6,13.4,1259,826.6,1.16,0.36965611,5.135163262
LLW (MI),1140,LLW3,2021,Fall,9,13.6,1307,876.1,1.19,-1.352618961,5.692945537
LLW (MI),640,LLW4,2021,Fall,9.2,14.5,1323,882.5,1.1,-0.899565855,5.672836009
LLW (MI),390,LLW5,2021,Fall,8.9,15,1501,1057.2,1.34,-1.266270802,6.09618145
LLW (MI),0,LLW6,2021,Fall,8.6,15.6,1880,1395,1.42,-1.169635831,8.740216466
