,eas,rownames,cro,llw,spc,rol,fry
1,0.385120644,Hshannon,0.879048193,0.041562682,0.38331687,0.957154519,0.7599453
2,0.385120644,Hsimpson,0.253169995,0.041562682,0.588724448,0.544093294,0.819150856
3,0.670344277,rich,0.452251222,0.208,0.000836008,0.787172012,0.427148809
4,0.070987654,J,0.482072038,0.041562682,0.588724448,0.87174344,0.482072038
5,0.274128125,rich.E,1,0.861523765,0.489589745,0.037840969,0.574237066
6,0.794526821,rich.P,0.667166326,0.021311641,0.904850501,0.38093921,0.526695193
7,0.394741568,rich.T,1,0.355232431,0.100897346,0.780908527,0.907523209
8,0.255617943,rich.C,0.966558047,0.173260315,0.75338789,0.164624595,0.873289515
9,0.30015658,rich.D,0.268241155,0.438739252,0.05657714,0.364143252,0.350294536
10,0.752907285,rich.less.E,0.473596936,0.072396501,0.002697476,0.492370153,0.542047755
11,0.952456686,rich.EPT,0.408209427,0.036057573,0.350395113,0.826848213,0.613155037
12,0.734696285,rich.T.less.H,0.810599811,0.815776496,0.80484784,0.517700208,0.609790047
13,0.693238812,pT.less.H,0.253169995,0.87174344,0.534509229,0.004804665,0.701657943
14,0.660412117,rich.EPT.less.H,0.968843853,0.080141228,0.422581508,0.956529352,0.557730749
15,0.866526271,pEPT.less.H,0.180201989,0.156174927,0.819150856,0.072396501,0.7599453
16,0.866526271,pEPT,0.253169995,0.622787172,0.534509229,0.87174344,0.879048193
17,0.955374012,pEPT.less.Cheum,0.253169995,0.622787172,0.879048193,0.87174344,0.939408205
18,1,pEPT.less.HBL,0.482072038,0.957154519,0.7599453,0.004804665,0.7599453
19,0.772132216,rich.PT,0.417905395,0.014888622,0.335111139,0.355232431,0.473596936
20,0.910849169,pE,0.38331687,0.956529352,0.504027009,0.000309086,0.819150856
21,0.333601087,rich.E.less.B,0.530091619,0.573392254,0.282179859,0.037840969,0.327582499
22,0.866526271,pE.less.B,0.38331687,0.774057503,0.148231161,0.000309086,0.819150856
23,0.351812553,pP,0.482072038,0.004804665,0.431611352,0.622787172,0.7599453
24,0.351812553,pP.less.Leuc,0.701657943,0.328723032,0.819150856,0.018845481,0.588724448
25,0.351812553,pP.less.Amph,0.482072038,0.004804665,0.431611352,0.622787172,0.7599453
26,0.351812553,pP.less.Allo,0.588724448,0.004804665,0.879048193,0.622787172,0.7599453
27,0.351812553,pP.less.LAA,0.431611352,0.622787172,0.588724448,0.072396501,0.588724448
28,0.490015485,pT,0.534509229,0.468478134,0.337368311,0.826848213,0.482072038
29,0.565348061,pPT.H,0.036238463,0,0.534509229,0.072396501,0.7599453
30,0.530922862,pChi,0.482072038,0.328723032,0.819150856,0.072396501,0.557730749
31,0.289403225,pD,0.819150856,0.208,0.337368311,0.265702624,1
32,0.488052691,pOligo,0.644511581,0.208,0.518476964,0.787172012,0.123550447
33,0.530922862,pChiO,0.701657943,0.328723032,0.38331687,0.072396501,0.036238463
34,0.20703125,p1dom,0.819150856,0.704,0.452251222,0.328723032,0.588724448
35,0.20703125,p2dom,0.819150856,0.704,0.452251222,0.328723032,0.588724448
36,0.20703125,p5dom,0.819150856,0.704,0.452251222,0.328723032,0.588724448
37,0.29321272,rich.SH,0.180247523,0.38093921,0.31209844,0.191093902,0.417905395
38,0.197473026,rich.CG,0.155435173,0.517700208,0.044107491,NA,0.335111139
39,0.028273133,rich.SC,0.968239033,0.138076183,0.937124009,0.103242805,0.223836601
40,0.044817276,rich.SC.less.E,0.725862474,0.005097541,0.671969896,0.512225259,0.765568415
41,0.835495962,rich.CF,0.574237066,0.681003541,0.039877389,0.551785507,0.550093
42,0.06183473,rich.PR,0.491016198,0.007665844,0.078237454,0.517700208,0.034316599
43,0.455644891,pSH,0.071343561,0.957154519,0.819150856,0.544093294,0.939408205
44,0.651401496,pCG,0.431611352,0.110787172,0.215217456,0.208,0.013697327
45,0.88799065,pSC,0.879048193,0.072396501,0.7599453,0.265702624,0.482072038
46,0.570156321,pSC.less.E,0.071343561,0.041562682,0.701657943,0.956529352,0.148231161
47,0.232935535,pCF,0.534509229,0.87174344,0.7599453,0.328723032,0.253169995
48,0.799460427,pPR,0.431611352,0.208,0.482072038,0.328723032,0.431611352
49,0.42255559,rich.Cling,0.969133588,0.227783957,0.084724349,0.517700208,0.337368311
50,0.057990318,pCling,0.215217456,0.072396501,0.482072038,0.072396501,0.452251222
51,0.634447233,rich.Burrow,0.599144228,0.954475735,0.208185176,0.16398445,0.636867652
52,0.289403225,pBurrow,0.7599453,0.328723032,0.071343561,0.265702624,0.939408205
53,0.624200312,rich.Sprawl,0.748705597,0.140357387,0.725862474,0.304558785,0.282179859
54,0.002008276,pSprawl,0.337368311,0.124789337,0.7599453,0.004804665,0.819150856
55,0.320531962,rich.Swimm,0.777381545,0.034109423,0.155435173,0.326164235,0.831747233
56,0.014902668,pSwimm,0.148231161,0.424662508,0.908365283,0.510358732,0.873289515
57,0.385120644,div.shan,0.879048193,0.041562682,0.38331687,0.957154519,0.7599453
58,0.416791591,div.simp,0.253169995,0.041562682,0.588724448,0.544093294,0.819150856
59,0.070987654,even.pielou,0.482072038,0.041562682,0.588724448,0.87174344,0.482072038
60,0.506375425,rich.INT,0.84767208,0.124789337,0.350395113,0.653427861,0.613155037
61,0.133974596,rich.TOL,0.530091619,0.441112809,0.173105846,0.441112809,NA
62,0.133974596,pTOL,0.609742692,0.704,0.100897346,0.441112809,NA
63,NA,sc.uScm,NA,NA,NA,NA,NA
