dist.d,site,Stream,Stream.Type,,
2050,CRO1,CRO,Reference 1,,
1900,CRO2,CRO,Reference 1,,
1530,CRO3,CRO,Reference 1,,
1160,CRO4,CRO,Reference 1,,
775,CRO5,CRO,Reference 1,,
340,CRO6,CRO,Reference 1,,
0,CRO7,CRO,Reference 1,,
2500,EAS1,EAS,Reference 2,,2115
2140,EAS2,EAS,Reference 2,,1755
1890,EAS3,EAS,Reference 2,,1505
1565,EAS4,EAS,Reference 2,,1180
1240,EAS5,EAS,Reference 2,,855
1000,EAS6,EAS,Reference 2,,615
715,EAS7,EAS,Reference 2,,330
385,EAS8,EAS,Reference 2,,0
0,EAS9,EAS,Reference 2,,
2785,FRY1,FRY,Mining Influenced 1,,2095
2465,FRY2,FRY,Mining Influenced 1,,1775
2170,FRY3,FRY,Mining Influenced 1,,1480
1845,FRY4,FRY,Mining Influenced 1,,1155
1480,FRY5,FRY,Mining Influenced 1,,790
1030,FRY6,FRY,Mining Influenced 1,,340
690,FRY7,FRY,Mining Influenced 1,,0
360,FRY8,FRY,Mining Influenced 1,,
0,FRY9,FRY,Mining Influenced 1,,
1950,LLW1,LLW,Mining Influenced 2,,
1400,LLW2,LLW,Mining Influenced 2,,
1140,LLW3,LLW,Mining Influenced 2,,
640,LLW4,LLW,Mining Influenced 2,,
390,LLW5,LLW,Mining Influenced 2,,
0,LLW6,LLW,Mining Influenced 2,,
1500,ROL1,ROL,Mining Influenced 3,,
1360,ROL2,ROL,Mining Influenced 3,,1295
1160,ROL3,ROL,Mining Influenced 3,,1155
765,ROL4,ROL,Mining Influenced 3,,955
455,ROL5,ROL,Mining Influenced 3,,560
205,ROL6,ROL,Mining Influenced 3,,250
0,ROL7,ROL,Mining Influenced 3,,
2556,SPC1,SPC,Mining Influenced 4,,
2167,SPC2,SPC,Mining Influenced 4,,
1793,SPC3,SPC,Mining Influenced 4,,
1294,SPC4,SPC,Mining Influenced 4,,
925,SPC5,SPC,Mining Influenced 4,,
525,SPC6,SPC,Mining Influenced 4,,
150,SPC7,SPC,Mining Influenced 4,,
0,SPC8,SPC,Mining Influenced 4,,
