Stream,Site,pfines,ppebbles,psmallcobble,plargecobble,LCF,avgwetwidth,avgdepth,avgembedd,avgcancov,avg.slope,D.pca,Rip.pca,Season,do.mgl,temp.C,sc.uScm,hardness.mgl,npoc.mgl,nutrients.pca,elements.pca,PCNM4,PCNM2,PCNM1,PCNM5
CRO (R),CRO1,11.65048544,37.86407767,25.24271845,25.24271845,2.166666667,1.2,2.106666667,8,75.56333333,2.75,0.865420276,-0.292446995,Spring,11.5,8.6,51,17.5,1.14,1.174959555,-2.304914865,-1.883018261,-0.085810083,0.475810355,0.634904804
CRO (R),CRO2,10.61946903,41.59292035,21.23893805,26.54867257,2.5,1.266666667,1.62,8.333333333,68.62666667,3.5,1.029803467,-0.749666249,Spring,11.3,8.8,54,17.2,1.12,1.46259204,-2.384374526,-1.917043084,-0.086214738,0.475725682,0.580902415
CRO (R),CRO3,22.33009709,34.95145631,11.65048544,31.06796117,1.391304348,1.65,4.633333333,12.33333333,55.39666667,3,0.143899736,-1.031399809,Spring,10.8,8.9,55,17.5,1.1,0.521243209,-2.285540844,-1.999053535,-0.087570487,0.475478785,0.305090658
CRO (R),CRO4,15.2173913,59.7826087,11.95652174,13.04347826,0.857142857,0.883333333,2.293333333,18.33333333,77.76333333,2.5,-3.770941332,-0.457671623,Spring,11,9.8,55,17.9,1.01,0.692505605,-2.244899476,-2.025403009,-0.088912168,0.475303716,-0.130220079
CRO (R),CRO5,13.04347826,58.69565217,23.91304348,4.347826087,0.333333333,1.316666667,3.946666667,13.33333333,78.15666667,0.83,-2.717153108,-0.502917039,Spring,10.7,10.2,53,20.8,1.18,0.461419334,-2.222004667,-2.02287537,-0.090771779,0.475105615,-0.849423786
CRO (R),CRO6,14.61538462,82.30769231,1.538461538,1.538461538,0.105263158,0.766666667,2.3,5.666666667,47.27333333,1,-5.357101888,-0.935778444,Spring,9.9,10.4,50,15.6,1.21,-1.80092911,-1.613445034,-2.099229871,-0.09272219,0.474781166,-1.37032816
CRO (R),CRO7,17.58241758,54.94505495,18.68131868,8.791208791,0.5,1.083333333,0.606666667,8,89.52666667,2.5,-3.517412399,-0.673637634,Spring,10,9.8,43,12.2,0.79,-1.393241334,-2.336294577,-2.071180966,-0.093674364,0.47470646,-1.818095563
EAS (R),EAS2,6.097560976,36.58536585,32.92682927,24.3902439,4,1.276666667,4.966666667,14.33333333,73.3,5.5,2.920073879,-0.640538193,Spring,11.1,9.3,22,8.1,0.42,0.032993044,-3.344736468,-0.121712492,1.546283346,0.386705171,-1.064531933
EAS (R),EAS3,4.545454545,37.87878788,22.72727273,34.84848485,7.666666667,2.66,4.933333333,15.33333333,85.98666667,5.25,3.72482662,-1.081775757,Spring,10.6,9.5,18,6.3,0.51,0.458970517,-3.121825212,-0.079849523,1.546354415,0.386374181,-0.842464989
EAS (R),EAS4,6.306306306,45.04504505,27.92792793,20.72072072,3.285714286,1.366666667,1.566666667,15.33333333,80.43,8,0.614802686,-0.895663562,Spring,10.7,9.6,17,5.5,0.51,-0.102968172,-3.097391244,-0.05575454,1.546458804,0.385854171,-0.412258672
EAS (R),EAS5,9.411764706,35.29411765,25.88235294,29.41176471,3.125,1.126666667,3.12,16.66666667,84.49666667,9.5,2.55757818,-0.895663562,Spring,10.7,9.8,16,5.1,0.55,-0.599356508,-2.953933547,-0.017206384,1.546562538,0.385304397,0.01051337
EAS (R),EAS6,9.85915493,32.3943662,30.98591549,26.76056338,2.714285714,1.6,7.806,16,78.55,12.83,2.648086761,-1.127021173,Spring,10.3,9.8,15,4.9,0.66,0.071368113,-2.982120989,0.018994004,1.546638003,0.384879045,0.320825033
EAS (R),EAS7,15.18987342,40.50632911,26.58227848,17.72151899,1.166666667,1.49,4.593333333,14.33333333,78.37666667,14.5,-0.873657266,-0.890533029,Spring,10.6,10,14,4.4,0.51,-0.253336527,-2.954952616,0.041062841,1.546717441,0.384401995,0.703569133
EAS (R),EAS8,16.84210526,28.42105263,27.36842105,27.36842105,1.625,1.533333333,3.106666667,8,84.65666667,14,1.779904712,-1.318263902,Spring,10.2,10.3,14,4.1,0.64,-1.255522991,-2.858877858,0.087347792,1.546804648,0.383840634,1.107102726
EAS (R),EAS9,24,28,14,34,1.416666667,0,0,0.333333333,87.06,27,0.690292415,-1.262757419,Spring,10.4,9.3,14,4,0.54,-2.3906652,-2.739775031,0.153146584,1.546896442,0.383191061,1.541895021
FRY (L),FRY1,10.34482759,52.5862069,19.82758621,17.24137931,1.666666667,3.13,2.84,10,72.64666667,2.5,-1.488262968,-1.004600927,Spring,11.3,10,343,133.6,0.96,0.574917986,-0.755054791,0.142362441,-0.066786943,0.478550049,1.846716704
FRY (L),FRY2,6.18556701,46.39175258,20.6185567,26.80412371,4.333333333,2.15,4.633333333,11.66666667,59.32,4.5,1.962473923,-0.64768655,Spring,11,10.2,346,132.4,1.25,-2.765587887,-0.808403203,0.218442824,-0.066695475,0.478531623,1.651777662
FRY (L),FRY3,5.494505495,51.64835165,29.67032967,13.18681319,2.4,2.146666667,4.266666667,11,61.91666667,5,-0.183866005,-1.130873135,Spring,11.2,10.7,326,126.4,0.94,0.593969426,-1.043573452,0.290080585,-0.066427173,0.478524918,1.537611112
FRY (L),FRY4,4.901960784,54.90196078,26.47058824,13.7254902,2.8,2.716666667,3.833333333,9,72.04666667,4.25,0.051848849,-1.162005522,Spring,12,11.5,325,127.4,1.16,0.75068933,-0.966662304,0.369017155,-0.066367085,0.478491718,1.321650726
FRY (L),FRY5,1.041666667,55.20833333,21.875,21.875,21,1.853333333,9.633333333,7.333333333,84.22333333,5,-0.220689845,0.777119104,Spring,11.1,12.9,312,121.6,0.94,0.866232465,-0.773272495,0.444335593,-0.066563666,0.478431592,1.018374522
FRY (L),FRY6,6.25,60.41666667,20.83333333,12.5,2,3.25,3.586666667,11.33333333,88.24666667,6,-3.27157916,-0.59340787,Spring,10.6,13.7,309,124.6,0.9,0.490925618,-1.189869569,0.527476084,-0.067420234,0.478297673,0.438885308
FRY (L),FRY7,5.714285714,55.23809524,20.95238095,18.0952381,3.166666667,1.85,2.866666667,9.666666667,79.28,5,-0.941755825,-1.187658188,Spring,10.4,13,128,38.9,0.96,0.77115729,-1.81649324,0.597914826,-0.06705601,0.478279969,0.364251504
FRY (L),FRY8,7.920792079,49.5049505,19.8019802,22.77227723,2.875,1.48,3.333333333,9.333333333,84.43,5.5,-0.352241183,-0.43714949,Spring,10.4,13,120,36.2,0.9,-0.762429281,-2.48488944,0.640218371,-0.065502311,0.478391896,0.829540462
FRY (L),FRY9,13.58024691,44.44444444,11.11111111,30.86419753,2.272727273,1.783333333,7.766666667,5.333333333,49.61666667,10,-0.308937092,-0.198104202,Spring,10,12.3,61,16.9,0.76,-0.322990174,-2.602285382,0.679863626,-0.064145198,0.478482214,1.22757734
LLW (H),LLW1,5.504587156,50.4587156,23.85321101,20.18348624,3.666666667,2.233333333,5.5,16.66666667,91.6,4,0.527345042,7.840413394,Spring,11.5,9.2,907,472.5,1.92,0.014213793,3.678519408,0.000475101,0.25196608,-2.525046737,9.77E-05
LLW (H),LLW2,7.142857143,41.83673469,26.53061224,24.48979592,3.428571429,2.033333333,5.393333333,15.66666667,91.4,2.75,0.674544476,2.386376702,Spring,11.1,10.9,927,491.9,1.41,-0.196182207,3.739957833,0.000480621,0.251968206,-2.525071183,0.000177336
LLW (H),LLW3,8.910891089,44.55445545,27.72277228,18.81188119,2.111111111,2.266666667,8.54,15,91.32,11.25,0.376033164,1.779491301,Spring,10.3,12.3,1062,573,1.8,0.047603954,4.552071582,0.000482347,0.251968523,-2.525076248,0.000202811
LLW (H),LLW4,5.263157895,49.12280702,22.80701754,22.80701754,4.333333333,1.566666667,5.28,13,83.4,5.5,0.458943105,1.412214317,Spring,10.8,11.9,1105,595,1.85,0.422910801,4.911643044,0.000483463,0.251968037,-2.525074403,0.000220741
LLW (H),LLW5,5.769230769,71.15384615,12.5,10.57692308,1.833333333,1.8,3.7,13.66666667,87.11666667,6.5,-2.806909276,-1.232903604,Spring,10.8,10.3,1362,782,1.25,-0.085351791,6.061194639,0.000483534,0.251967319,-2.525069189,0.000222956
LLW (H),LLW6,2.941176471,49.01960784,24.50980392,23.52941176,8,1.333333333,4.026666667,11.33333333,87.71666667,16,1.584858892,1.021894257,Spring,10.4,11.2,1687,1030.1,1.14,-2.807738337,8.560641574,0.003036371,0.065095083,-2.536139666,0.00110868
ROL (H),ROL1,2.631578947,51.31578947,22.36842105,23.68421053,9,2.533333333,5.74,17,84.35,11.5,0.212896981,-0.548162454,Spring,11.3,9.1,516,227.1,0.91,0.861519746,0.348347532,1.584694074,-0.061318707,0.477647615,-0.454969238
ROL (H),ROL2,2.298850575,59.77011494,17.24137931,20.68965517,9,3.266666667,4.393333333,16.33333333,86.35333333,3,-0.931275217,-0.694159767,Spring,10.7,10.4,620,293.7,0.91,1.27145125,0.655527263,1.56527386,-0.061929183,0.477618017,-0.628841198
ROL (H),ROL3,2.380952381,51.19047619,28.57142857,17.85714286,7.5,1.716666667,5.746666667,16.66666667,89.03,3.5,0.065701363,-1.257626886,Spring,9.9,11.2,665,324.9,1.1,0.571844097,1.051325711,1.520609131,-0.062735698,0.477608138,-0.80028347
ROL (H),ROL4,5.681818182,56.81818182,20.45454545,17.04545455,3,1.5,3.146666667,15,79.55,6.5,-1.741221806,-1.177397122,Spring,9.8,12.4,819,420.6,1.23,0.697013234,2.255470436,1.456099672,-0.064499683,0.477525996,-1.27731063
ROL (H),ROL5,9.523809524,60.71428571,9.523809524,20.23809524,2.125,0.693333333,2.026666667,12.33333333,68.37666667,6.33,-1.519338868,-0.548162454,Spring,9.8,14.2,954,515.4,1.21,0.609946977,3.24492591,1.399947225,-0.065714194,0.477482618,-1.5699467
ROL (H),ROL6,6.153846154,60,15.38461538,18.46153846,3,0.866666667,1.446666667,10,78.33333333,10.25,-1.160143974,-1.041660875,Spring,8.4,13.8,1244,730.6,1.51,-2.673838616,5.493994953,1.336353041,-0.066016092,0.477546812,-1.490591657
