Stream,Site,fines,largecobble,pebbles,smallcobble,pfines,ppebbles,psmallcobble,plargecobble,LCF,SCF,D10,D16,D25,D50,D75,D84,D90,D84to50,IQR,Hsimpson,avg slope,LWD m2,avgwetwidth,avgdepth,avgembedd,avgbankstabL,avgbankstaR,avgriparianwidL,avgriparianwidR,avgvegprotecL,avgvegprotecR,avgcancov
CRO,CRO1,10,15,56,22,9.708737864,54.36893204,21.3592233,14.5631068,1.5,2.2,2.8,4.512,11,64,109,128,180,2,98,0.903949477,2.75,0,1.2,2.106666667,8,8,7.333333333,10,9,10,9,75.56333333
CRO,CRO2,10,13,58,32,8.849557522,51.32743363,28.31858407,11.50442478,1.3,3.2,3.04,8,11,45,128,128,180,2.844444444,117,0.904534419,3.5,0,1.266666667,1.62,8.333333333,7,6.333333333,10,10,10,10,68.62666667
CRO,CRO3,20,19,46,18,19.41747573,44.66019417,17.47572816,18.44660194,0.95,0.9,2,2,4.8,32,128,180,180,5.625,123.2,0.885851635,3,0,1.65,4.633333333,12.33333333,7.666666667,7.666666667,10,10,10,10,55.39666667
CRO,CRO4,12,4,64,12,13.04347826,69.56521739,13.04347826,4.347826087,0.333333333,1,2,4.896,8,16,49.75,90,128,5.625,41.75,0.908553875,2.5,4.01,0.883333333,2.293333333,18.33333333,5.666666667,5.666666667,10,10,10,10,77.76333333
CRO,CRO5,10,2,68,12,10.86956522,73.91304348,13.04347826,2.173913043,0.2,1.2,2.08,5.6,8,32,64,64,90,2,56,0.900283554,0.83,0,1.316666667,3.946666667,13.33333333,5.666666667,6,10,10,10,10,78.15666667
CRO,CRO6,19,1,109,1,14.61538462,83.84615385,0.769230769,0.769230769,0.052631579,0.052631579,2,4,5.6,11,22.6,32,32,2.909090909,17,0.882011834,1,0,0.766666667,2.3,5.666666667,7.333333333,7.333333333,10,10,10,10,47.27333333
CRO,CRO7,11,3,62,15,12.08791209,68.13186813,16.48351648,3.296703297,0.272727273,1.363636364,2,2.8,8,22.6,64,90,90,3.982300885,56,0.913174737,2.5,0,1.083333333,0.606666667,8,5,8,10,10,10,10,89.52666667
EAS,EAS2,5,12,41,24,6.097560976,50,29.26829268,14.63414634,2.4,4.8,11,16,22.6,64,90,128,180,2,67.4,0.885187388,5.5,0,1.276666667,4.966666667,14.33333333,8,7,9,10,10,10,73.3
EAS,EAS3,3,12,30,21,4.545454545,45.45454545,31.81818182,18.18181818,4,7,8,11,16,77,128,180,180,2.337662338,112,0.885674931,5.25,0,2.66,4.933333333,15.33333333,8,7.666666667,10,10,10,10,85.98666667
EAS,EAS4,5,4,67,35,4.504504505,60.36036036,31.53153153,3.603603604,0.8,7,8,11,16,45,90,128,128,2.844444444,74,0.895544193,8,0,1.366666667,1.566666667,15.33333333,7.666666667,6.666666667,10,10,10,10,80.43
EAS,EAS5,8,12,42,23,9.411764706,49.41176471,27.05882353,14.11764706,1.5,2.875,8,8,16,64,128,128,180,2,112,0.891349481,9.5,0,1.126666667,3.12,16.66666667,7.666666667,6.666666667,10,10,10,10,84.49666667
EAS,EAS6,7,8,34,22,9.85915493,47.88732394,30.98591549,11.26760563,1.142857143,3.142857143,5.6,11,16,64,128,128,180,2,112,0.88831581,12.83,0,1.6,7.806,16,8,8,10,10,10,10,78.55
EAS,EAS7,11,5,43,20,13.92405063,54.43037975,25.3164557,6.329113924,0.454545455,1.818181818,2,5.6,8,45,90,128,128,2.844444444,82,0.903060407,14.5,0,1.49,4.593333333,14.33333333,7.333333333,7,10,10,10,10,78.37666667
EAS,EAS8,15,16,39,25,15.78947368,41.05263158,26.31578947,16.84210526,1.066666667,1.666666667,2,2.848,8,64,128,180,180,2.8125,120,0.882437673,14,2.38,1.533333333,3.106666667,8,8.666666667,8.666666667,10,10,10,10,84.65666667
FRY,FRY1,10,5,76,25,8.620689655,65.51724138,21.55172414,4.310344828,0.5,2.5,3.4,5.6,8,32,90,128,128,4,82,0.914090369,2.5,0,3.13,2.84,10,8.666666667,7.666666667,10,10,10,9.666666667,72.64666667
FRY,FRY2,5,13,59,20,5.154639175,60.82474227,20.6185567,13.40206186,2.6,4,7.04,11,16,45,128,128,180,2.844444444,112,0.899139122,4.5,0,2.15,4.633333333,11.66666667,9.666666667,8.333333333,10,8,10,9.333333333,59.32
FRY,FRY3,3,3,63,22,3.296703297,69.23076923,24.17582418,3.296703297,1,7.333333333,8,8,11,45,90,90,128,2,79,0.898683734,5,0,2.146666667,4.266666667,11,9.666666667,8,10,9.666666667,10,9.666666667,61.91666667
FRY,FRY4,3,5,73,21,2.941176471,71.56862745,20.58823529,4.901960784,1.666666667,7,8,11,16,45,83.5,90,128,2,67.5,0.904075356,4.25,0,2.716666667,3.833333333,9,7.333333333,9,10,10,10,10,72.04666667
FRY,FRY5,1,8,64,23,1.041666667,66.66666667,23.95833333,8.333333333,8,23,5.6,8,11,45,90,128,128,2.844444444,79,0.903428819,5,0,1.853333333,9.633333333,7.333333333,5.666666667,5.666666667,10,6.666666667,10,9,84.22333333
FRY,FRY6,5,7,72,12,5.208333333,75,12.5,7.291666667,1.4,2.4,4,5.6,8,16,64,90,128,5.625,56,0.914713542,6,28.48,3.25,3.586666667,11.33333333,5.666666667,6.666666667,10,10,10,10,88.24666667
FRY,FRY7,4,10,72,19,3.80952381,68.57142857,18.0952381,9.523809524,2.5,4.75,5.6,8,11,32,90,128,128,4,79,0.913560091,5,0,1.85,2.866666667,9.666666667,9,7.333333333,10,10,10,10,79.28
FRY,FRY8,3,9,66,23,2.97029703,65.34653465,22.77227723,8.910891089,3,7.666666667,5.6,8,11,45,90,128,128,2.844444444,79,0.911283208,5.5,0,1.48,3.333333333,9.333333333,4.333333333,7,10,10,10,10,84.43
FRY,FRY9,10,12,41,18,12.34567901,50.61728395,22.22222222,14.81481481,1.2,1.8,2,5.6,11,22.6,128,128,180,5.663716814,117,0.900167657,10,0,1.783333333,7.766666667,5.333333333,6.333333333,6.666666667,10,9.333333333,10,9.333333333,49.61666667
LLW,LLW1,5,8,72,24,4.587155963,66.05504587,22.01834862,7.339449541,1.6,4.8,8,11,16,45,90,128,128,2.844444444,74,0.900765929,4,0,2.233333333,5.5,16.66666667,4.333333333,5.333333333,2,5.666666667,6,7.666666667,91.6
LLW,LLW2,7,9,52,30,7.142857143,53.06122449,30.6122449,9.183673469,1.285714286,4.285714286,5.6,9.56,11,64,90,128,128,2,79,0.895251978,2.75,0,2.033333333,5.393333333,15.66666667,7,6.666666667,10,3.333333333,10,6.666666667,91.4
LLW,LLW3,9,6,63,23,8.910891089,62.37623762,22.77227723,5.940594059,0.666666667,2.555555556,5.6,11,16,45,90,128,128,2.844444444,74,0.897363004,11.25,0,2.266666667,8.54,15,5,6.333333333,10,5.333333333,10,7.666666667,91.32
LLW,LLW4,5,13,67,29,4.385964912,58.77192982,25.43859649,11.40350877,2.6,5.8,5.6,11,11,45,90,128,180,2.844444444,79,0.907663897,5.5,1.46,1.566666667,5.28,13,8.666666667,8.333333333,10,4,10,7.333333333,83.4
LLW,LLW5,5,7,79,13,4.807692308,75.96153846,12.5,6.730769231,1.4,2.6,5.6,8,11,22.6,45,90,116.6,3.982300885,34,0.909763314,6.5,0,1.8,3.7,13.66666667,9,7.666666667,10,10,10,10,87.11666667
ROL,ROL1,2,6,50,18,2.631578947,65.78947368,23.68421053,7.894736842,3,9,8,11,11,38.5,90,128,128,3.324675325,79,0.889542936,11.5,0,2.533333333,5.74,17,5.666666667,6.333333333,10,10,10,10,84.35
ROL,ROL2,2,7,61,17,2.298850575,70.11494253,19.54022989,8.045977011,3.5,8.5,5.6,8,11,32,90,128,128,4,79,0.912934337,3,0,3.266666667,4.393333333,16.33333333,6.333333333,6.666666667,10,10,10,10,86.35333333
ROL,ROL3,1,6,54,23,1.19047619,64.28571429,27.38095238,7.142857143,6,23,8,11,16,32,90,128,128,4,74,0.895408163,3.5,2.83,1.716666667,5.746666667,16.66666667,7.666666667,9.333333333,10,10,10,10,89.03
ROL,ROL4,4,6,64,14,4.545454545,72.72727273,15.90909091,6.818181818,1.5,3.5,5.6,8,10.25,27.3,64,128,128,4.688644689,53.75,0.903409091,6.5,0,1.5,3.146666667,15,8.333333333,8,10,10,10,10,79.55
ROL,ROL5,5,5,56,18,5.952380952,66.66666667,21.42857143,5.952380952,1,3.6,4,8,11,22.6,90,128,128,5.663716814,79,0.905612245,6.33,0,0.693333333,2.026666667,12.33333333,5.666666667,6.333333333,10,10,10,10,68.37666667
ROL,ROL6,4,8,46,7,6.153846154,70.76923077,10.76923077,12.30769231,2,1.75,4.64,8,11,32,64,128,180,4,53,0.911242604,10.25,0,0.866666667,1.446666667,10,8.333333333,7,10,10,10,10,78.33333333
ROL,ROL7,7,2,59,7,9.333333333,78.66666667,9.333333333,2.666666667,0.285714286,1,4,4,8,16,38.5,55.07,90,3.441875,30.5,0.906311111,14.5,3.27,0.866666667,1.02,9.666666667,7.333333333,5.666666667,10,10,10,10,84.76
SPC,SPC1,8,15,42,28,8.602150538,45.16129032,30.10752688,16.12903226,1.875,3.5,2.8,8,11,64,128,166.48,180,2.60125,117,0.893976182,3.5,0,2.333333333,6.76,10.66666667,6,7,9,9,9,9,76.47666667
SPC,SPC2,7,9,45,30,7.692307692,49.45054945,32.96703297,9.89010989,1.285714286,4.285714286,2.8,5.6,9.5,64,128,128,128,2,118.5,0.896510083,3,0,3.95,5.12,11,3,10,6.333333333,10,8.666666667,10,74.68666667
SPC,SPC3,5,10,64,25,4.807692308,61.53846154,24.03846154,9.615384615,2,5,3.16,6.752,11,64,90,128,128,2,79,0.905695266,1.25,0,3.683333333,3.706666667,13.66666667,3.666666667,6,8.333333333,6,10,9.666666667,90.99
SPC,SPC4,10,13,59,33,8.695652174,51.30434783,28.69565217,11.30434783,1.3,3.3,2.8,8,16,45,128,128,180,2.844444444,112,0.896786389,1.75,0,2.633333333,3.486666667,12.66666667,5.666666667,4.666666667,7,5.333333333,9.666666667,9.666666667,71.48666667
SPC,SPC5,5,18,67,33,4.06504065,54.47154472,26.82926829,14.63414634,3.6,6.6,5.6,9.56,16,64,128,128,180,2,112,0.89999339,2.25,0,2.1,4.966666667,16.66666667,8.666666667,8.333333333,9,10,10,10,85.58333333
SPC,SPC6,5,15,55,30,4.761904762,52.38095238,28.57142857,14.28571429,3,6,8,11,22.6,64,128,128,180,2,105.4,0.893968254,4.25,0,1.716666667,4.546666667,11.66666667,2,4.333333333,10,9,10,9,88.56333333
SPC,SPC7,8,12,63,22,7.619047619,60,20.95238095,11.42857143,1.5,2.75,2.8,5.6,8,32,90,128,180,4,82,0.917913832,2.25,0,1.65,2.566666667,10.33333333,6.666666667,6,7,7.666666667,9.666666667,9,82.18
SPC,SPC8,9,1,107,11,7.03125,83.59375,8.59375,0.78125,0.111111111,1.222222222,8,11,20.95,32,45,64,64,2,24.05,0.868408203,0.5,0,2,2.38,12.33333333,8.666666667,7.666666667,10,4.333333333,10,9,NA
