Stream,Site,fines,largecobble,pebbles,smallcobble,pfines,ppebbles,psmallcobble,plargecobble,LCF,SCF,Hsimpson,D10,D16,D25,D50,D75,D84,D90,D84to50,IQR,avgwetwidth,avgdepth,avgembedd,avgbankstabL,avgbankstaR,avgriparianwidL,avgriparianwidR,avgvegprotecL,avgvegprotecR,avgcancov,avg slope
CRO (R),CRO1,12,26,39,26,11.65048544,37.86407767,25.24271845,25.24271845,2.166666667,2.166666667,0.903949477,2.8,4.512,11,64,109,128,180,2,98,1.2,2.106666667,8,8,7.333333333,10,9,10,9,75.56333333,2.75
CRO (R),CRO2,12,30,47,24,10.61946903,41.59292035,21.23893805,26.54867257,2.5,2,0.904534419,3.04,8,11,45,128,128,180,2.844444444,117,1.266666667,1.62,8.333333333,7,6.333333333,10,10,10,10,68.62666667,3.5
CRO (R),CRO3,23,32,36,12,22.33009709,34.95145631,11.65048544,31.06796117,1.391304348,0.52173913,0.885851635,2,2,4.8,32,128,180,180,5.625,123.2,1.65,4.633333333,12.33333333,7.666666667,7.666666667,10,10,10,10,55.39666667,3
CRO (R),CRO4,14,12,55,11,15.2173913,59.7826087,11.95652174,13.04347826,0.857142857,0.785714286,0.908553875,2,4.896,8,16,49.75,90,128,5.625,41.75,0.883333333,2.293333333,18.33333333,5.666666667,5.666666667,10,10,10,10,77.76333333,2.5
CRO (R),CRO5,12,4,54,22,13.04347826,58.69565217,23.91304348,4.347826087,0.333333333,1.833333333,0.900283554,2.08,5.6,8,32,64,64,90,2,56,1.316666667,3.946666667,13.33333333,5.666666667,6,10,10,10,10,78.15666667,0.83
CRO (R),CRO6,19,2,107,2,14.61538462,82.30769231,1.538461538,1.538461538,0.105263158,0.105263158,0.882011834,2,4,5.6,11,22.6,32,32,2.909090909,17,0.766666667,2.3,5.666666667,7.333333333,7.333333333,10,10,10,10,47.27333333,1
CRO (R),CRO7,16,8,50,17,17.58241758,54.94505495,18.68131868,8.791208791,0.5,1.0625,0.913174737,2,2.8,8,22.6,64,90,90,3.982300885,56,1.083333333,0.606666667,8,5,8,10,10,10,10,89.52666667,2.5
EAS (R),EAS1,0,35,34,23,0,36.95652174,25,38.04347826,Inf,Inf,0.872164461,11,16,22.6,77,128,180,180,2.337662338,105.4,2.166666667,4.74,14.33333333,6.666666667,8,8.666666667,4,9.333333333,8,72.19666667,5
EAS (R),EAS2,5,20,30,27,6.097560976,36.58536585,32.92682927,24.3902439,4,5.4,0.885187388,11,16,22.6,64,90,128,180,2,67.4,1.276666667,4.966666667,14.33333333,8,7,9,10,10,10,73.3,5.5
EAS (R),EAS3,3,23,25,15,4.545454545,37.87878788,22.72727273,34.84848485,7.666666667,5,0.885674931,8,11,16,77,128,180,180,2.337662338,112,2.66,4.933333333,15.33333333,8,7.666666667,10,10,10,10,85.98666667,5.25
EAS (R),EAS4,7,23,50,31,6.306306306,45.04504505,27.92792793,20.72072072,3.285714286,4.428571429,0.895544193,8,11,16,45,90,128,128,2.844444444,74,1.366666667,1.566666667,15.33333333,7.666666667,6.666666667,10,10,10,10,80.43,8
EAS (R),EAS5,8,25,30,22,9.411764706,35.29411765,25.88235294,29.41176471,3.125,2.75,0.891349481,8,8,16,64,128,128,180,2,112,1.126666667,3.12,16.66666667,7.666666667,6.666666667,10,10,10,10,84.49666667,9.5
EAS (R),EAS6,7,19,23,22,9.85915493,32.3943662,30.98591549,26.76056338,2.714285714,3.142857143,0.88831581,5.6,11,16,64,128,128,180,2,112,1.6,7.806,16,8,8,10,10,10,10,78.55,12.83
EAS (R),EAS7,12,14,32,21,15.18987342,40.50632911,26.58227848,17.72151899,1.166666667,1.75,0.903060407,2,5.6,8,45,90,128,128,2.844444444,82,1.49,4.593333333,14.33333333,7.333333333,7,10,10,10,10,78.37666667,14.5
EAS (R),EAS8,16,26,27,26,16.84210526,28.42105263,27.36842105,27.36842105,1.625,1.625,0.882437673,2,2.848,8,64,128,180,180,2.8125,120,1.533333333,3.106666667,8,8.666666667,8.666666667,10,10,10,10,84.65666667,14
EAS (R),EAS9,12,17,14,7,24,28,14,34,1.416666667,0.583333333,0.8624,2,2,4.4,38.5,128,149.06,180,3.871688312,123.6,0,0,0.333333333,8,9,10,10,10,10,87.06,27
FRY (MI),FRY1,12,20,61,23,10.34482759,52.5862069,19.82758621,17.24137931,1.666666667,1.916666667,0.914090369,3.4,5.6,8,32,90,128,128,4,82,3.13,2.84,10,8.666666667,7.666666667,10,10,10,9.666666667,72.64666667,2.5
