site,transect,wetwid,barwid,lft,lctr,ctr,rctr,rht,chancode,embedd,bankstabL,bankstaR,riparianwidL,riparianwidR,vegprotecL,vegprotecR,cancov
CRO1,CRO1A,0.7,NA,0.4,2,3,1.9,0.3,RUN,8,8,7,10,9,10,9,48.87
CRO1,CRO1B,1.55,NA,1.5,6.5,4.5,3.2,0.8,RUN,8,8,7,10,9,10,9,88.12
CRO1,CRO1C,1.35,NA,1.5,2.5,0,3,0.5,RIFF,8,8,8,10,9,10,9,89.7
CRO2,CRO2A,1,NA,0.1,2.5,1,0.3,0.3,RIFF,7,10,2,10,10,10,10,74.47
CRO2,CRO2B,1.4,NA,0.5,0,0.4,2,1.7,RUN,9,2,10,10,10,10,10,52.6
CRO2,CRO2A,1.4,NA,0.9,1.5,5.5,6.5,1.1,RUN,9,9,7,10,10,10,10,78.81
CRO3,CRO3A,1.2,NA,0.3,1.7,0.3,0.5,2.5,RUN,12,8,8,10,10,10,10,52.58
CRO3,CRO3B,0.75,NA,1,5.6,7.3,3.4,0.3,RUN,12,7,8,10,10,10,10,54.91
CRO3,CRO3C,3,NA,1,13.8,15,15,1.8,POOL,13,8,7,10,10,10,10,58.7
CRO4,CRO4A,0.75,NA,3.5,3.5,4.3,5.5,2.7,RUN,18,8,7,10,10,10,10,71.81
CRO4,CRO4B,1.5,NA,1,2.3,3,1.5,1.8,RUN,19,7,2,10,10,10,10,82.56
CRO4,CRO4C,0.4,NA,0.5,1,2,1.5,0.3,RUN,18,2,8,10,10,10,10,78.92
CRO5,CRO5A,0.5,NA,0.8,4,5.8,2.8,0.8,RUN,11,8,8,10,10,10,10,56.53
CRO5,CRO5B,0.8,NA,2,2.2,5.5,3.6,0.8,RUN,12,3,7,10,10,10,10,85.5
CRO5,CRO5C,2.65,NA,3.5,5.8,8,10.1,3.5,POOL,17,6,3,10,10,10,10,92.44
CRO6,CRO6A,0.8,NA,0.7,2,6.3,9,1.9,POOL,12,9,3,10,10,10,10,34.19
CRO6,CRO6B,0.85,NA,1.6,2,4.2,1.8,2,POOL,2,10,9,10,10,10,10,27.66
CRO6,CRO6C,0.65,NA,1,1,0.2,0.3,0.5,RUN,3,3,10,10,10,10,10,79.97
CRO7,CRO7A,1.55,NA,0.5,1,0.4,0.6,1,RIFF,8,7,8,10,10,10,10,93.89
CRO7,CRO7B,0.8,2.1,1.5,0.2,0.1,0.5,0.1,RIFF,8,7,8,10,10,10,10,90.58
CRO7,CRO7C,0.9,NA,0.2,0.8,1,1,0.2,RIFF,8,1,8,10,10,10,10,84.11
EAS1,EAS1A,1.15,NA,3.5,8.9,7.3,4.6,3,RUN,15,5,8,6,6,8,8,86.25
EAS1,EAS1B,3.55,0.4,5.3,6.9,2.9,5.5,13.7,"RUN,POOL",14,6,9,10,2,10,7,55.18
EAS1,EAS1C,1.8,NA,3.7,4.8,0.3,0.5,0.2,RUN,14,9,7,10,4,10,9,75.16
EAS2,EAS2A,1.3,NA,0.2,1.1,3.5,2.1,0.2,RUN,16,8,7,9,10,10,10,65.53
EAS2,EAS2B,1,NA,6.6,9.8,10.1,9.2,3.4,RUN,14,8,7,9,10,10,10,59.37
EAS2,EAS2A,1.53,NA,3.7,9.8,10.3,3.1,1.4,RUN,13,8,7,9,10,10,10,95
EAS3,EAS3A,2.2,NA,1.2,12.1,6.5,3.7,4.2,RUN,16,9,7,10,10,10,10,87
EAS3,EAS3B,2,NA,1.5,5.7,9.3,7.5,2.4,RUN,16,9,8,10,10,10,10,87
EAS3,EAS3C,3.78,NA,0.5,2.7,3.2,10.4,3.1,POOL,14,6,8,10,10,10,10,83.96
EAS4,EAS4A,1.4,0.4,1.5,3,4.5,3,2,RIFF,17,8,6,10,10,10,10,81.16
EAS4,EAS4B,1.3,NA,2.1,0.9,0.7,1.2,0.3,RIFF,14,7,8,10,10,10,10,68.13
EAS4,EAS4C,1.4,NA,0.7,0.1,0.7,0.9,1.9,RUN,15,8,6,10,10,10,10,92
EAS5,EAS5A,1,NA,0.5,5.3,0.7,2.1,0.2,RUN,15,7,7,10,10,10,10,93
EAS5,EAS5B,2,NA,6.9,5.4,3.3,2,0.1,RUN,16,8,7,10,10,10,10,69.73
EAS5,EAS5C,0.38,NA,1.3,2.1,5,7,4.9,RUN,19,8,6,10,10,10,10,90.76
EAS6,EAS6A,0.9,NA,2.2,4.3,8.9,7.8,5,RUN,16,8,8,10,10,10,10,78.65
EAS6,EAS6B,2.4,NA,5.9,14,25.19,23.7,9.8,POOL,16,8,8,10,10,10,10,87
EAS6,EAS6C,1.5,NA,1.5,0.8,2,4.7,1.3,RUN,16,8,8,10,10,10,10,70
EAS7,EAS7A,1.4,NA,3.4,1.5,6.8,5.2,1.4,RUN,15,7,7,10,10,10,10,74.55
EAS7,EAS7B,1.07,NA,1.2,3.1,6.2,7.4,3.5,RUN,15,7,7,10,10,10,10,89.58
EAS7,EAS7C,2,0.4,2.2,9.4,13.3,3.2,1.1,POOL,13,8,7,10,10,10,10,71
EAS8,EAS8A,1.1,NA,0.5,2,7.5,5.5,1.1,RUN,13,9,10,10,10,10,10,88.37
EAS8,EAS8B,2.3,NA,1.5,2.5,5,4.5,1,RIFF,10,9,9,10,10,10,10,80.6
EAS8,EAS8C,1.2,NA,3.5,5,3,2,2,NA,1,8,7,10,10,10,10,85
EAS9,EAS9A,2,NA,0.5,4,3.2,2.5,1.5,RIFF,0,5,7,10,10,10,10,86.6
EAS9,EAS9B,NA,NA,NA,NA,NA,NA,NA,DRY,1,9,10,10,10,10,10,84.8
EAS9,EAS9C,0.85,NA,4,5,3.5,2,1,POOL,0,10,10,10,10,10,10,89.78
FRY1,FRY1A,4.04,2,1.5,2,3,2.5,1,RUN,11,9,7,10,10,10,9,72.35
FRY1,FRY1B,2.55,NA,2.5,2.5,4.5,5.5,2.5,RUN,8,8,7,10,10,10,10,80.96
FRY1,FRY1C,2.8,NA,2.5,6,1.5,0.1,5,RUN,11,9,9,10,10,10,10,64.63
FRY2,FRY2A,3.1,NA,2.5,3.5,9.5,4,0.5,RUN,11,9,8,10,9,10,10,53.9
FRY2,FRY2B,1.95,NA,2.5,4.5,2,7.5,5,RUN,11,10,9,10,8,10,10,60.85
FRY2,FRY2A,1.4,NA,1.5,5.5,13,6.5,1.5,RUN,13,10,8,10,7,10,8,63.21
FRY3,FRY3A,1.98,NA,2,6.5,7,3,2,RUN,11,10,9,10,10,10,10,72.65
FRY3,FRY3B,2,NA,3,8.5,10.5,3.5,0.5,RUN,12,9,7,10,10,10,10,57.31
FRY3,FRY3C,2.46,NA,1,8,5,2.5,1,RUN,10,10,8,10,9,10,9,55.79
