Stream,Stream_Type,dist.d,Site,Season,totind,Hshannon,Hsimpson,rich,J,rich.E,rich.P,rich.T,rich.C,rich.D,rich.less.E,rich.EPT,rich.T.less.H,pT.less.H,rich.EPT.less.H,pEPT.less.H,pEPT,pEPT.less.Cheum,pEPT.less.HBL,rich.PT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Leuc,pP.less.Amph,pP.less.Allo,pP.less.LAA,pT,pPT.H,pChi,pD,pOligo,pChiO,p1dom,p2dom,p5dom,rich.SH,rich.CG,rich.SC,rich.SC.less.E,rich.CF,rich.PR,pSH,pCG,pSC,pSC.less.E,pCF,pPR,rich.Cling,pCling,rich.Burrow,pBurrow,rich.Sprawl,pSprawl,rich.Swimm,pSwimm,rich.INT,rich.TOL,pTOL,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3.n.mgl,no2no3.n.mgl,ortho.po4.p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl,ca.mg,so4.hco3,fines,largecobble,pebbles,smallcobble,pfines,ppebbles,psmallcobble,plargecobble,LCF,SCF,D10,D16,D25,D50,D75,D84,D90,D84to50,IQR,Hsimpson.y,avgwetwidth,avgdepth,avgembedd,avgbankstabL,avgbankstaR,avgriparianwidL,avgriparianwidR,avgvegprotecL,avgvegprotecR,avgcancov,avg.slope
CRO (R),Reference 1,2050,CRO1,Fall,205,2.681335137,0.897703748,30,0.788350347,5,5,8,5,5,25,18,5,3.414634146,15,40,62.43902439,60.97560976,39.51219512,13,18,5,18,18.5,18,18.5,18.5,18,25.9,22,7.8,16.6,1.5,9.268292683,19.5,33.7,65.9,3,5,7,4,5,10,15.1,25.4,19,14.6,23.9,16.6,20,50.7,6,19.5,2,15.1,2,14.6,14,0,0,7.4,7.2,16.1,79,58,26.1,30.9,0.34,0.005,0.01,0.16,0.01,1.43,1.25,7.66,0,31.79,2.82,3.64,1.87,6.4,0.7,3.53,0.34,0.07,0.08,0.285,2.18,0.03,0.03,0.22,18.92,0.001,0.59,44.39,0.001,0.001,0.005,0.01,33.14,0.002,0.01,1.758241758,0.240956276,10,15,56,22,9.708737864,54.36893204,21.3592233,14.5631068,1.5,2.2,2.8,4.512,11,64,109,128,180,2,98,0.903949477,1.2,2.106666667,8,8,7.333333333,10,9,10,9,75.56333333,2.75
CRO (R),Reference 1,1900,CRO2,Fall,207,2.913376642,0.922401923,32,0.840622807,6,5,7,6,6,26,18,4,3.8647343,15,36.71497585,53.62318841,51.20772947,35.74879227,12,17.4,5,16.4,15.5,15.5,15.5,15.5,15.5,20.8,19.3,15.9,26.6,0,15.94202899,19.3,33.3,65.2,5,4,8,5,5,10,15,27.1,22.2,15.9,19.3,16.4,20,49.3,7,28.5,2,8.2,3,14,16,0,0,7.4,8.11,14.9,76,61,28.2,32.2,0.4,0.005,0.005,0.15,0.005,1.58,1.3,7.78,0,34.37,2.79,3.7,1.85,6.83,0.89,5.21,0.23,0.1,0.08,0.285,1.73,0.03,0.1,0.28,9.31,0.001,0.47,51.18,0.001,0.001,0.005,0.01,36.84,0.002,0.01,1.845945946,0.226360198,10,13,58,32,8.849557522,51.32743363,28.31858407,11.50442478,1.3,3.2,3.04,8,11,45,128,128,180,2.844444444,117,0.904534419,1.266666667,1.62,8.333333333,7,6.333333333,10,10,10,10,68.62666667,3.5
CRO (R),Reference 1,1530,CRO3,Fall,206,3.092664537,0.934348195,37,0.856476002,6,7,9,5,8,31,22,5,5.339805825,18,35.9223301,48.05825243,44.66019417,35.4368932,16,15.5,5,15,15,15,15,14.6,14.6,17.5,20.4,17,27.2,1.9,18.93203883,19.4,33.5,65.5,7,6,8,5,6,10,16.5,27.7,28.6,20.4,13.6,13.6,21,47.6,8,29.6,4,10.2,4,12.6,19,0,0,8,7.53,14.7,77,61,31.9,35.9,0.42,0.005,0.01,0.15,0.005,2.03,1.38,6.54,0,38.86,2.99,3.96,1.88,7.86,0.71,7.14,0.36,0.09,0.14,36.75,5.2,0.05,0.14,0.28,30.74,0.01,0.69,49.7,0.001,0.001,0.005,0.01,34.12,0.002,0.01,1.984848485,0.168296449,20,19,46,18,19.41747573,44.66019417,17.47572816,18.44660194,0.95,0.9,2,2,4.8,32,128,180,180,5.625,123.2,0.885851635,1.65,4.633333333,12.33333333,7.666666667,7.666666667,10,10,10,10,55.39666667,3
CRO (R),Reference 1,1160,CRO4,Fall,202,3.021198109,0.932653661,34,0.856746804,6,7,8,5,6,28,21,5,6.435643564,18,44.55445545,53.96039604,52.47524752,42.57425743,15,20.8,5,19.8,17.3,16.3,17.3,16.3,15.3,15.8,23.8,11.9,32.2,0.5,12.37623762,19.8,34.2,66.8,7,7,6,3,5,8,30.2,24.8,23.8,9.4,12.9,7.4,21,38.6,7,29.2,1,11.9,4,19.3,16,0,0,7.2,7.37,14.7,82,66,38.1,40.2,0.38,0.02,0.01,0.08,0.01,2.15,1.04,5.56,0,46.42,3.51,4.33,1.76,8.97,1.72,4.89,0.32,0.07,0.15,232.39,58.86,0.18,0.17,0.19,9.04,0.1,0.54,74.55,0.001,0.001,0.005,0.01,60.23,0.002,0.01,2.071593533,0.119775959,12,4,64,12,13.04347826,69.56521739,13.04347826,4.347826087,0.333333333,1,2,4.896,8,16,49.75,90,128,5.625,41.75,0.908553875,0.883333333,2.293333333,18.33333333,5.666666667,5.666666667,10,10,10,10,77.76333333,2.5
CRO (R),Reference 1,775,CRO5,Fall,194,2.767906081,0.890636625,33,0.791620219,7,6,5,5,8,26,18,3,4.12371134,16,56.18556701,60.82474227,60.30927835,48.45360825,11,33.5,6,32.5,18.6,11.9,18.6,16.5,9.8,8.8,22.7,15.5,23.2,2.6,18.04123711,20.6,35.6,69.6,7,7,6,3,3,10,23.2,24.7,37.1,9.8,6.2,8.8,18,36.6,8,25.8,3,8.8,4,28.9,13,1,0.51546,6.6,7.31,15.1,90,73,32.7,36,0.45,0.01,0.02,0.16,0.01,1.97,0.99,6.44,0,39.87,3,3.93,1.74,7.96,1.04,4.21,0.33,0.06,0.13,257.22,91.84,0.29,0.13,0.14,20.4,0.1,0.64,52.37,0.001,0.001,0.005,0.01,45.47,0.002,0.01,2.025445293,0.161524956,10,2,68,12,10.86956522,73.91304348,13.04347826,2.173913043,0.2,1.2,2.08,5.6,8,32,64,64,90,2,56,0.900283554,1.316666667,3.946666667,13.33333333,5.666666667,6,10,10,10,10,78.15666667,0.83
CRO (R),Reference 1,340,CRO6,Fall,213,2.935358779,0.91582358,35,0.825617838,6,6,5,4,9,29,17,4,4.694835681,16,57.27699531,57.74647887,57.74647887,37.55868545,11,19.2,6,19.2,33.3,13.6,33.3,29.6,9.9,5.2,38,11.3,21.6,0.9,12.20657277,18.8,32.4,63.4,7,6,9,6,1,11,34.3,18.3,31,15.5,0.5,15.5,17,55.4,11,23.9,4,8.5,2,11.7,19,1,1.40845,6.4,7.48,15.2,85,69,14.8,18.9,0.57,0.01,0.01,0.18,0.005,1.37,0.77,7.25,0,18,2.3,2.34,1.51,3.73,0.36,10.82,0.38,0.07,0.17,96.4,17.56,0.13,0.16,0.23,22.36,0.08,0.38,25.41,0.001,0.001,0.005,0.01,22.01,0.002,5.00E-04,1.594017094,0.402777778,19,1,109,1,14.61538462,83.84615385,0.769230769,0.769230769,0.052631579,0.052631579,2,4,5.6,11,22.6,32,32,2.909090909,17,0.882011834,0.766666667,2.3,5.666666667,7.333333333,7.333333333,10,10,10,10,47.27333333,1
CRO (R),Reference 1,0,CRO7,Fall,174,2.897292817,0.91709605,32,0.835981996,7,9,3,3,6,25,19,2,2.873563218,18,52.29885057,55.17241379,55.17241379,44.82758621,12,30.5,6,29.9,19,12.1,19,17.8,10.9,5.7,21.8,14.9,20.1,1.7,16.66666667,23,39.7,77.6,6,6,6,2,2,12,16.1,23.6,43.1,17.8,3.4,13.8,17,59.2,8,24.7,4,6.3,3,9.8,15,1,0.57471,8,7.3,15.5,51,41,24.8,29.2,0.32,0.01,0.02,0.16,0.01,1.7,1.24,7.4,0,30.23,2.71,3.46,1.91,6.01,0.59,5.88,0.29,0.06,0.12,4.1,5.42,0.05,0.07,0.23,28.24,0.001,0.5,42.16,0.001,0.001,0.005,0.01,32.17,0.002,5.00E-04,1.73699422,0.244789944,11,3,62,15,12.08791209,68.13186813,16.48351648,3.296703297,0.272727273,1.363636364,2,2.8,8,22.6,64,90,90,3.982300885,56,0.913174737,1.083333333,0.606666667,8,5,8,10,10,10,10,89.52666667,2.5
EAS (R),Reference 2,2115,EAS1,Fall,198,2.872868421,0.916182022,32,0.828934605,8,8,8,2,5,24,24,5,9.090909091,21,54.04040404,82.82828283,77.27272727,49.49494949,16,33.3,6,30.3,11.6,10.1,11.6,11.6,10.1,37.9,20.7,8.1,10.6,0,8.080808081,20.2,34.8,68.2,4,7,6,3,6,9,8.1,24.2,24.2,6.6,30.8,12.6,21,63.1,4,10.1,3,6.1,4,20.7,18,0,0,8.1,8.67,12.2,24,19,15.6,10.3,0.36,0.01,0.005,0.24,0.005,0.58,0.23,2.41,0,18.99,0.62,0.7,0.4,2.97,0.27,4.52,0.13,0.09,0.15,0.285,0.43,0.01,0.005,0.025,4.25,0.001,1.01,13.89,0.001,0.001,0.005,0.01,13.5,0.002,0.01,4.242857143,0.126908899,0,17,46,29,0,50,31.52173913,18.47826087,Inf,Inf,11,16,22.6,77,128,180,180,2.337662338,105.4,0.872164461,2.166666667,4.74,14.33333333,6.666666667,8,8.666666667,4,9.333333333,8,72.19666667,5
EAS (R),Reference 2,1755,EAS2,Fall,213,2.733011544,0.896647491,30,0.80354394,7,6,7,3,5,23,20,4,14.08450704,17,42.25352113,71.36150235,71.36150235,40.37558685,13,19.7,6,18.3,8.5,8,8.5,8.5,8,43.2,22.5,10.3,13.1,0.5,10.79812207,18.8,32.4,63.4,3,7,7,4,5,8,3.8,18.3,30.5,17.8,30.5,16.9,18,70.4,7,14.1,2,3.3,3,12.2,19,1,0.46948,8.3,7.8,12.2,25,19,15.5,10.3,0.33,0.005,0.005,0.24,0.005,0.49,0.23,2.4,0,18.91,0.6,0.68,0.38,2.99,0.29,4.67,0.13,0.13,0.15,0.285,0.27,0.01,0.005,0.025,4.44,0.001,0.19,13.81,0.001,0.001,0.005,0.01,12.92,0.002,0.01,4.397058824,0.126916975,5,12,41,24,6.097560976,50,29.26829268,14.63414634,2.4,4.8,11,16,22.6,64,90,128,180,2,67.4,0.885187388,1.276666667,4.966666667,14.33333333,8,7,9,10,10,10,73.3,5.5
EAS (R),Reference 2,1505,EAS3,Fall,191,2.711379076,0.897343823,25,0.84233727,8,5,6,2,3,17,19,3,9.42408377,16,46.59685864,78.0104712,75.39267016,40.83769634,11,23.6,6,20.4,13.6,11,13.6,13.6,11,40.8,23,14.7,15.7,0,14.65968586,20.9,36.1,70.7,3,5,7,3,4,6,7.3,27.2,19.4,8.4,33,13.1,17,66,3,15.7,1,4.2,4,14.1,14,0,0,8,7.39,12.8,21,16,11.5,8.4,0.39,0.01,0.005,0.27,0.005,0.53,0.22,2.29,0,14.05,0.54,0.64,0.4,2.3,0.29,4.99,0.16,0.12,0.13,0.285,0.34,0.01,0.005,0.025,3.92,0.001,0.8,11.42,0.001,0.001,0.005,0.01,12.66,0.002,5.00E-04,3.59375,0.162989324,3,12,30,21,4.545454545,45.45454545,31.81818182,18.18181818,4,7,8,11,16,77,128,180,180,2.337662338,112,0.885674931,2.66,4.933333333,15.33333333,8,7.666666667,10,10,10,10,85.98666667,5.25
