totind,abund,Hshannon,Hsimpson,rich,J,rich.E,rich.P,rich.T,rich.C,rich.D,rich.less.E,rich.EPT,rich.T.less.H,pT.less.H,rich.EPT.less.H,pEPT.less.H,pEPT,pEPT.less.Cheum,pEPT.less.HBL,rich.PT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Leuc,pP.less.Amph,pP.less.Allo,pP.less.LAA,pT,pPT.H,pChi,pD,pOligo,pChiO,p1dom,p2dom,p5dom,rich.SH,rich.CG,rich.SC,rich.SC.less.E,rich.CF,rich.PR,pSH,pCG,pSC,pSC.less.E,pCF,pPR,rich.Cling,pCling,rich.Burrow,pBurrow,rich.Climb,pClimb,rich.Sprawl,pSprawl,rich.Swimm,pSwimm,div.shan,div.simp,even.pielou,rich.INT,rich.TOL,pTOL,Site,Stream
205,205,2.681335137,0.897703748,30,0.788350347,5,5,8,5,5,25,18,5,3.414634146,15,40,62.43902439,60.97560976,39.51219512,13,18,5,18,18.5,18,18.5,18.5,18,25.9,22,7.8,16.6,1.5,9.268292683,19.5,33.7,65.9,3,5,7,4,5,10,15.1,25.4,19,14.6,23.9,16.6,20,50.7,6,19.5,0,0,2,15.1,2,14.6,2.681,0.898,0.7884,14,0,0,CRO-1,CRO (R)
207,207,2.913376642,0.922401923,32,0.840622807,6,5,7,6,6,26,18,4,3.8647343,15,36.71497585,53.62318841,51.20772947,35.74879227,12,17.4,5,16.4,15.5,15.5,15.5,15.5,15.5,20.8,19.3,15.9,26.6,0,15.94202899,19.3,33.3,65.2,5,4,8,5,5,10,15,27.1,22.2,15.9,19.3,16.4,20,49.3,7,28.5,0,0,2,8.2,3,14,2.913,0.922,0.8406,16,0,0,CRO-2,CRO (R)
206,206,3.092664537,0.934348195,37,0.856476002,6,7,9,5,8,31,22,5,5.339805825,18,35.9223301,48.05825243,44.66019417,35.4368932,16,15.5,5,15,15,15,15,14.6,14.6,17.5,20.4,17,27.2,1.9,18.93203883,19.4,33.5,65.5,7,6,8,5,6,10,16.5,27.7,28.6,20.4,13.6,13.6,21,47.6,8,29.6,0,0,4,10.2,4,12.6,3.093,0.934,0.8565,19,0,0,CRO-3,CRO (R)
202,202,3.021198109,0.932653661,34,0.856746804,6,8,8,5,6,28,22,5,6.435643564,19,45.54455446,54.95049505,53.46534653,43.56435644,16,20.8,5,19.8,18.3,17.3,18.3,17.3,16.3,15.8,24.8,11.9,32.2,0.5,12.37623762,19.8,34.2,66.8,7,7,6,3,5,9,30.2,24.8,23.8,9.4,12.9,8.4,22,39.6,7,29.2,0,0,1,11.9,4,19.3,3.021,0.933,0.8567,17,0,0,CRO-4,CRO (R)
194,194,2.767906081,0.890636625,33,0.791620219,7,6,5,5,8,26,18,3,4.12371134,16,56.18556701,60.82474227,60.30927835,48.45360825,11,33.5,6,32.5,18.6,11.9,18.6,16.5,9.8,8.8,22.7,15.5,23.2,2.6,18.04123711,20.6,35.6,69.6,7,7,6,3,3,10,23.2,24.7,37.1,9.8,6.2,8.8,18,36.6,8,25.8,0,0,3,8.8,4,28.9,2.768,0.891,0.7916,13,1,0.51546,CRO-5,CRO (R)
213,213,2.935358779,0.91582358,35,0.825617838,6,6,5,4,9,29,17,4,4.694835681,16,57.27699531,57.74647887,57.74647887,37.55868545,11,19.2,6,19.2,33.3,13.6,33.3,29.6,9.9,5.2,38,11.3,21.6,0.9,12.20657277,18.8,32.4,63.4,7,6,9,6,1,11,34.3,18.3,31,15.5,0.5,15.5,17,55.4,11,23.9,0,0,4,8.5,2,11.7,2.935,0.916,0.8256,19,1,1.40845,CRO-6,CRO (R)
174,174,2.897292817,0.91709605,32,0.835981996,7,9,3,3,6,25,19,2,2.873563218,18,52.29885057,55.17241379,55.17241379,44.82758621,12,30.5,6,29.9,19,12.1,19,17.8,10.9,5.7,21.8,14.9,20.1,1.7,16.66666667,23,39.7,77.6,6,6,6,2,2,12,16.1,23.6,43.1,17.8,3.4,13.8,17,59.2,8,24.7,0,0,4,6.3,3,9.8,2.897,0.917,0.836,15,1,0.57471,CRO-7,CRO (R)
198,198,2.872868421,0.916182022,32,0.828934605,8,8,8,2,5,24,24,5,9.090909091,21,54.04040404,82.82828283,77.27272727,49.49494949,16,33.3,6,30.3,11.6,10.1,11.6,11.6,10.1,37.9,20.7,8.1,10.6,0,8.080808081,20.2,34.8,68.2,4,7,6,3,6,9,8.1,24.2,24.2,6.6,30.8,12.6,21,63.1,4,10.1,0,0,3,6.1,4,20.7,2.873,0.916,0.8289,18,0,0,EAS-1,EAS (R)
213,213,2.733011544,0.896647491,30,0.80354394,7,6,7,3,5,23,20,4,14.08450704,17,42.25352113,71.36150235,71.36150235,40.37558685,13,19.7,6,18.3,8.5,8,8.5,8.5,8,43.2,22.5,10.3,13.1,0.5,10.79812207,18.8,32.4,63.4,3,7,7,4,5,8,3.8,18.3,30.5,17.8,30.5,16.9,18,70.4,7,14.1,0,0,2,3.3,3,12.2,2.733,0.897,0.8035,19,1,0.46948,EAS-2,EAS (R)
191,191,2.711379076,0.897343823,25,0.84233727,8,5,6,2,3,17,19,3,9.42408377,16,46.59685864,78.0104712,75.39267016,40.83769634,11,23.6,6,20.4,13.6,11,13.6,13.6,11,40.8,23,14.7,15.7,0,14.65968586,20.9,36.1,70.7,3,5,7,3,4,6,7.3,27.2,19.4,8.4,33,13.1,17,66,3,15.7,0,0,1,4.2,4,14.1,2.711,0.897,0.8423,14,0,0,EAS-3,EAS (R)
