Stream,Stream_Type,dist.d,Site,Season,Hshannon.mac,rich,rich.E,rich.EPT,pEPT.less.H,pEPT,pE,rich.E.less.B,pE.less.B,pP,pP.less.Amph,pT,pPT.H,pChi,pD,pChiO,p1dom,p5dom,rich.SC,pPR,rich.Cling,pCling,pSprawl,pSwimm,ph,temp.C,sc.uScm,no2no3.n.mgl,npoc.mgl,na.mgl,ca.mgl,fe.ugl,ni.ugl,as.ugl,se.ugl,ba.ugl,u.ugl,ca.mg,pfines,D16,D90,Hsimpson.peb,avgwetwidth,avgembedd,avgvegprotecL,avgvegprotecR,avg.slope
CRO (R),Reference 1,2050,CRO1,Fall,2.681335137,30,5,18,40,62.43902439,18,5,18,18.5,18.5,25.9,22,7.8,16.6,9.268292683,19.5,65.9,7,16.6,20,50.7,15.1,14.6,7.2,16.1,79,0.16,1.43,2.82,6.4,0.285,0.03,0.001,0.59,33.14,0.01,1.758241758,9.708737864,4.512,180,0.903949477,1.2,8,10,9,2.75
CRO (R),Reference 1,1900,CRO2,Fall,2.913376642,32,6,18,36.71497585,53.62318841,17.4,5,16.4,15.5,15.5,20.8,19.3,15.9,26.6,15.94202899,19.3,65.2,8,16.4,20,49.3,8.2,14,8.11,14.9,76,0.15,1.58,2.79,6.83,0.285,0.1,0.001,0.47,36.84,0.01,1.845945946,8.849557522,8,180,0.904534419,1.266666667,8.333333333,10,10,3.5
CRO (R),Reference 1,1530,CRO3,Fall,3.092664537,37,6,22,35.9223301,48.05825243,15.5,5,15,15,15,17.5,20.4,17,27.2,18.93203883,19.4,65.5,8,13.6,21,47.6,10.2,12.6,7.53,14.7,77,0.15,2.03,2.99,7.86,36.75,0.14,0.01,0.69,34.12,0.01,1.984848485,19.41747573,2,180,0.885851635,1.65,12.33333333,10,10,3
CRO (R),Reference 1,1160,CRO4,Fall,3.021198109,34,6,21,44.55445545,53.96039604,20.8,5,19.8,17.3,17.3,15.8,23.8,11.9,32.2,12.37623762,19.8,66.8,6,7.4,21,38.6,11.9,19.3,7.37,14.7,82,0.08,2.15,3.51,8.97,232.39,0.17,0.1,0.54,60.23,0.01,2.071593533,13.04347826,4.896,128,0.908553875,0.883333333,18.33333333,10,10,2.5
CRO (R),Reference 1,775,CRO5,Fall,2.767906081,33,7,18,56.18556701,60.82474227,33.5,6,32.5,18.6,18.6,8.8,22.7,15.5,23.2,18.04123711,20.6,69.6,6,8.8,18,36.6,8.8,28.9,7.31,15.1,90,0.16,1.97,3,7.96,257.22,0.13,0.1,0.64,45.47,0.01,2.025445293,10.86956522,5.6,90,0.900283554,1.316666667,13.33333333,10,10,0.83
CRO (R),Reference 1,340,CRO6,Fall,2.935358779,35,6,17,57.27699531,57.74647887,19.2,6,19.2,33.3,33.3,5.2,38,11.3,21.6,12.20657277,18.8,63.4,9,15.5,17,55.4,8.5,11.7,7.48,15.2,85,0.18,1.37,2.3,3.73,96.4,0.16,0.08,0.38,22.01,5.00E-04,1.594017094,14.61538462,4,32,0.882011834,0.766666667,5.666666667,10,10,1
CRO (R),Reference 1,0,CRO7,Fall,2.897292817,32,7,19,52.29885057,55.17241379,30.5,6,29.9,19,19,5.7,21.8,14.9,20.1,16.66666667,23,77.6,6,13.8,17,59.2,6.3,9.8,7.3,15.5,51,0.16,1.7,2.71,6.01,4.1,0.07,0.001,0.5,32.17,5.00E-04,1.73699422,12.08791209,2.8,90,0.913174737,1.083333333,8,10,10,2.5
EAS (R),Reference 2,2115,EAS1,Fall,2.872868421,32,8,24,54.04040404,82.82828283,33.3,6,30.3,11.6,11.6,37.9,20.7,8.1,10.6,8.080808081,20.2,68.2,6,12.6,21,63.1,6.1,20.7,8.67,12.2,24,0.24,0.58,0.62,2.97,0.285,0.005,0.001,1.01,13.5,0.01,4.242857143,0,16,180,0.872164461,2.166666667,14.33333333,9.333333333,8,5
EAS (R),Reference 2,1755,EAS2,Fall,2.733011544,30,7,20,42.25352113,71.36150235,19.7,6,18.3,8.5,8.5,43.2,22.5,10.3,13.1,10.79812207,18.8,63.4,7,16.9,18,70.4,3.3,12.2,7.8,12.2,25,0.24,0.49,0.6,2.99,0.285,0.005,0.001,0.19,12.92,0.01,4.397058824,6.097560976,16,180,0.885187388,1.276666667,14.33333333,10,10,5.5
EAS (R),Reference 2,1505,EAS3,Fall,2.711379076,25,8,19,46.59685864,78.0104712,23.6,6,20.4,13.6,13.6,40.8,23,14.7,15.7,14.65968586,20.9,70.7,7,13.1,17,66,4.2,14.1,7.39,12.8,21,0.27,0.53,0.54,2.3,0.285,0.005,0.001,0.8,12.66,5.00E-04,3.59375,4.545454545,11,180,0.885674931,2.66,15.33333333,10,10,5.25
