"","Hshannon","Hsimpson","rich","J","rich.E","rich.P","rich.T","rich.C","rich.D","rich.less.E","rich.EPT","rich.T.less.H","pT.less.H","rich.EPT.less.H","pEPT.less.H","pEPT","pEPT.less.Cheum","pEPT.less.HBL","rich.PT","pE","rich.E.less.B","pE.less.B","pP","pP.less.Leuc","pP.less.Amph","pP.less.Allo","pP.less.LAA","pT","pPT.H","pChi","pD","pOligo","pChiO","p1dom","p2dom","p5dom","rich.SH","rich.CG","rich.SC","rich.SC.less.E","rich.CF","rich.PR","pSH","pCG","pSC","pSC.less.E","pCF","pPR","rich.Cling","pCling","rich.Burrow","pBurrow","rich.Sprawl","pSprawl","rich.Swimm","pSwimm","div.shan","div.simp","even.pielou","rich.INT","rich.TOL","pTOL","sc.uScm"
"Hshannon",1,0.857142857142857,0.846881214933825,0.857142857142857,-0.0597614304667197,0.436435780471985,0.436435780471985,0.039405520311955,0.4678007428532,0.872871560943969,0.505224802281456,0.392952623996688,0.785714285714286,0.624089633482199,-0.285714285714286,-0.821428571428571,-0.821428571428571,-0.571428571428571,0.45888943638397,-0.428571428571429,-0.288675134594813,-0.428571428571429,-0.428571428571429,0.0714285714285714,-0.428571428571429,-0.392857142857143,0,-0.178571428571429,0,0.428571428571429,0.785714285714286,-0.214285714285714,0.321428571428571,-0.392857142857143,-0.392857142857143,-0.392857142857143,0.63048832499128,0.224544356569536,0.355528564568432,0.381881307912987,0.333562192497496,-0.23643312187173,0.428571428571429,0.25,0.0357142857142857,0.285714285714286,-0.178571428571429,-0.464285714285714,0.454620604658317,-0.178571428571429,0.336816534854304,0.75,0.168408267427152,0,0.434659143960611,-0.25,1,0.857142857142857,0.857142857142857,0.900937462695559,-0.288675134594813,-0.15762208124782,-0.0714285714285714
"Hsimpson",0.857142857142857,1,0.486506229855602,0.928571428571429,-0.159363814577919,0.418250956285652,0.545544725589981,0.197027601559775,0,0.545544725589981,0.729769158850992,0.449088713139072,0.5,0.550667323660764,-0.642857142857143,-0.928571428571429,-0.928571428571429,-0.607142857142857,0.734223098214352,-0.571428571428571,-0.577350269189626,-0.571428571428571,-0.678571428571429,0.321428571428571,-0.678571428571429,-0.535714285714286,0.357142857142857,0.178571428571429,-0.392857142857143,0.5,0.714285714285714,-0.321428571428571,0.321428571428571,-0.214285714285714,-0.214285714285714,-0.214285714285714,0.216730361715753,-0.056136089142384,0.18712029714128,0.163663417676994,0.592999453328881,-0.295541402339663,-0.0357142857142857,0.535714285714286,-0.178571428571429,0.428571428571429,0.178571428571429,-0.285714285714286,0.618284022335312,-0.0714285714285714,-0.056136089142384,0.785714285714286,-0.018712029714128,0,0.41576092031015,-0.285714285714286,0.857142857142857,1,0.928571428571429,0.720749970156447,-0.577350269189626,-0.47286624374346,-0.5
"rich",0.846881214933825,0.486506229855602,1,0.522543728363424,0.120604537831105,0.394512015836946,0.27524094128159,-0.13916748518532,0.811899030453063,0.954168596442846,0.264339219217276,0.236017160015425,0.828862465679914,0.574172534596893,0.0540562477617335,-0.504524979109513,-0.504524979109513,-0.360374985078224,0.129651862650911,-0.180187492539112,0.0728219081254419,-0.180187492539112,-0.144149994031289,-0.270281238808668,-0.144149994031289,-0.270281238808668,-0.396412483586046,-0.432449982093868,0.288299988062579,0.360374985078224,0.630656223886891,0.180187492539112,0.414431232839957,-0.342356235824312,-0.342356235824312,-0.342356235824312,0.894648119048487,0.490915692832085,0.349305396822829,0.412861411922385,0.0934946990008457,-0.109345881217037,0.720749970156447,0,0.30631873731649,0.162168743285201,-0.432449982093868,-0.576599976125158,0.201843356939833,-0.30631873731649,0.651407361642574,0.576599976125158,0.405949515226532,0.0540562477617335,0.457662042837884,-0.126131244777378,0.846881214933825,0.486506229855602,0.522543728363424,0.763636363636364,0.0728219081254419,0.149108019841415,0.342356235824312
"J",0.857142857142857,0.928571428571429,0.522543728363424,1,0.0597614304667197,0.527359901403648,0.381881307912987,0.197027601559775,0.074848118856512,0.545544725589981,0.729769158850992,0.299392475426048,0.607142857142857,0.679156365848276,-0.428571428571429,-0.892857142857143,-0.892857142857143,-0.357142857142857,0.605734056026841,-0.285714285714286,-0.433012701892219,-0.285714285714286,-0.571428571428571,0.178571428571429,-0.571428571428571,-0.535714285714286,0.214285714285714,0,-0.214285714285714,0.5,0.857142857142857,-0.357142857142857,0.357142857142857,-0.0714285714285714,-0.0714285714285714,-0.0714285714285714,0.39405520311955,0.205832326855408,-0.018712029714128,0,0.444749589996661,-0.39405520311955,0.142857142857143,0.357142857142857,-0.0357142857142857,0.178571428571429,0,-0.535714285714286,0.600099198148979,-0.25,0,0.857142857142857,-0.149696237713024,-0.0714285714285714,0.585844933164302,-0.107142857142857,0.857142857142857,0.928571428571429,1,0.630656223886891,-0.433012701892219,-0.374352442963573,-0.321428571428571
"rich.E",-0.0597614304667197,-0.159363814577919,0.120604537831105,0.0597614304667197,1,0.557865567829336,-0.699867712367712,-0.384638609480876,0.37573457465109,-0.111573113565867,0.104370715180858,-0.834965721446866,-0.159363814577919,0.378815322047603,0.458170966911518,-0.0597614304667197,-0.0597614304667197,0.597614304667197,-0.470959589572696,0.697216688778396,0.724568837309472,0.697216688778396,0.358568582800318,-0.896421457000795,0.358568582800318,-0.199204768222399,-0.776898596067356,-0.657375735133917,0,0.418330013267038,0.0597614304667197,0.478091443733758,0.657375735133917,0.597614304667197,0.597614304667197,0.597614304667197,0.395628284037472,0.521853575904291,-0.50097943286812,-0.547722557505166,-0.475466482591966,0.384638609480876,0.199204768222399,-0.458170966911518,0.896421457000795,0.0996023841111995,-0.657375735133917,-0.537852874200477,-0.476721485235978,-0.0996023841111995,0.563601861976635,0.179284291400159,0.407045789205347,-0.657375735133917,0.453259797957468,-0.0996023841111995,-0.0597614304667197,-0.159363814577919,0.0597614304667197,-0.281410588272579,0.724568837309472,0.560473402386419,0
"rich.P",0.436435780471985,0.418250956285652,0.394512015836946,0.527359901403648,0.557865567829336,1,-0.194444444444444,-0.621993574276474,0.161970885967925,0.157407407407407,0.666938942220868,-0.209609381840844,0.218217890235992,0.934620256820074,0.181848241863327,-0.327326835353989,-0.327326835353989,0.327326835353989,0.271039874477821,0.400066132099319,0.293972367896066,0.400066132099319,0.145478593490662,-0.363696483726654,0.145478593490662,-0.0363696483726654,-0.236402714422325,-0.563729549776314,0.163663417676994,0.145478593490662,0.27277236279499,0.27277236279499,0.418250956285652,0.563729549776314,0.563729549776314,0.563729549776314,0.501607721190705,0.619300446347949,-0.485912657903775,-0.555555555555556,-0.150970271219279,0.17054662520484,0.418250956285652,-0.309142011167656,0.654653670707977,0.145478593490662,-0.563729549776314,-0.691023319080643,-0.00925925925925926,0.0727392967453308,0.390635666157937,0.363696483726654,0.32394177193585,-0.218217890235992,0.471502719838194,-0.327326835353989,0.436435780471985,0.418250956285652,0.527359901403648,0.247716847153431,0.293972367896066,0.280900323866795,-0.20003306604966
"rich.T",0.436435780471985,0.545544725589981,0.27524094128159,0.381881307912987,-0.699867712367712,-0.194444444444444,1,0.571832802157404,-0.20008168266626,0.444444444444444,0.485912657903775,0.943242218283799,0.545544725589981,0.0841158231138066,-0.763762615825973,-0.381881307912987,-0.381881307912987,-0.600099198148979,0.813119623433464,-0.709208143266975,-0.881917103688197,-0.709208143266975,-0.818317088384971,0.709208143266975,-0.818317088384971,-0.436435780471985,0.654653670707977,0.709208143266975,-0.218217890235992,0.163663417676994,0.490990253030983,-0.109108945117996,0,-0.327326835353989,-0.327326835353989,-0.327326835353989,0.0300964632714423,-0.114332390095006,0.228664780190012,0.333333333333333,0.905821627315677,-0.722315118514615,-0.109108945117996,0.818317088384971,-0.709208143266975,0,0.709208143266975,-0.0545544725589981,0.888888888888889,-0.436435780471985,-0.485912657903775,0.490990253030983,-0.371580267808769,0.763762615825973,0.288675134594813,0.327326835353989,0.436435780471985,0.545544725589981,0.381881307912987,0.357813223666067,-0.881917103688197,-0.842700971600384,0
"rich.C",0.039405520311955,0.197027601559775,-0.13916748518532,0.197027601559775,-0.384638609480876,-0.621993574276474,0.571832802157404,1,-0.268398045179984,0.100321544238141,0.06193801042615,0.43356607298305,0.216730361715753,-0.415180560066258,-0.63048832499128,-0.295541402339663,-0.295541402339663,-0.374352442963573,0.273411588336316,-0.47286624374346,-0.716649814429432,-0.47286624374346,-0.768407646083123,0.47286624374346,-0.768407646083123,-0.63048832499128,0.433460723431505,0.768407646083123,-0.453163483587483,0.39405520311955,0.47286624374346,-0.334946922651618,0.0591082804679325,-0.31524416249564,-0.31524416249564,-0.31524416249564,-0.228260869565217,-0.30969005213075,0.134199022589992,0.270868169442981,0.695181697093101,-0.728260869565217,-0.453163483587483,0.768407646083123,-0.709299365615191,-0.177324841403798,0.768407646083123,0.0985138007798876,0.652090037547917,-0.610785564835303,-0.609057102523809,0.433460723431505,-0.650349109474575,0.31524416249564,0.281494458977051,0.610785564835303,0.039405520311955,0.197027601559775,0.197027601559775,-0.109345881217037,-0.716649814429432,-0.793478260869565,0.0197027601559775
"rich.D",0.4678007428532,0,0.811899030453063,0.074848118856512,0.37573457465109,0.161970885967925,-0.20008168266626,-0.268398045179984,1,0.733632836442955,-0.245098039215686,-0.235294117647059,0.486512772567328,0.211577588231026,0.430376683424944,-0.168408267427152,-0.168408267427152,-0.149696237713024,-0.461623828867692,0.074848118856512,0.529366374234268,0.074848118856512,0.261968415997792,-0.65492103999448,0.261968415997792,-0.074848118856512,-0.804617277707504,-0.673633069708608,0.355528564568432,0.299392475426048,0.261968415997792,0.318104505140176,0.392952623996688,-0.355528564568432,-0.355528564568432,-0.355528564568432,0.805194135539951,0.401960784313726,0.42156862745098,0.457329560380024,-0.349531036821278,0.268398045179984,0.692345099422736,-0.336816534854304,0.56136089142384,0.168408267427152,-0.673633069708608,-0.355528564568432,-0.32394177193585,-0.149696237713024,0.901960784313726,0.205832326855408,0.627450980392157,-0.28068044571192,0.198029508595335,-0.18712029714128,0.4678007428532,0,0.074848118856512,0.481475006431468,0.529366374234268,0.567765095573042,0.486512772567328
"rich.less.E",0.872871560943969,0.545544725589981,0.954168596442846,0.545544725589981,-0.111573113565867,0.157407407407407,0.444444444444444,0.100321544238141,0.733632836442955,1,0.190553983491676,0.409691064507104,0.872871560943969,0.392540507864431,-0.109108945117996,-0.563729549776314,-0.563729549776314,-0.563729549776314,0.196270253932216,-0.400066132099319,-0.146986183948033,-0.400066132099319,-0.309142011167656,-0.0545544725589981,-0.309142011167656,-0.327326835353989,-0.218217890235992,-0.218217890235992,0.20003306604966,0.363696483726654,0.691023319080643,-0.0181848241863327,0.290957186981323,-0.563729549776314,-0.563729549776314,-0.563729549776314,0.772475890633686,0.295358674412099,0.52402345460211,0.611111111111111,0.245326690731329,-0.250803860595353,0.600099198148979,0.181848241863327,0.0363696483726654,0.145478593490662,-0.218217890235992,-0.418250956285652,0.342592592592593,-0.345511659540321,0.485912657903775,0.600099198148979,0.247720178539179,0.145478593490662,0.375277674973257,-0.0545544725589981,0.872871560943969,0.545544725589981,0.545544725589981,0.82572282384477,-0.146986183948033,-0.0401286176952564,0.327326835353989
