Stream,Site,x,y
CRO (R),CRO1,-82.218091,37.128969
CRO (R),CRO2,-82.217875,37.130151
CRO (R),CRO3,-82.216378,37.133115
CRO (R),CRO4,-82.213573,37.134341
CRO (R),CRO5,-82.208741,37.134824
CRO (R),CRO6,-82.205576,37.137792
CRO (R),CRO7,-82.202454,37.137206
EAS (R),EAS1,-82.592995,36.917381
EAS (R),EAS2,-82.595265,36.916008
EAS (R),EAS3,-82.596808,36.914468
EAS (R),EAS4,-82.599993,36.913366
EAS (R),EAS5,-82.60307,36.911793
EAS (R),EAS6,-82.6053,36.910378
EAS (R),EAS7,-82.608128,36.909378
EAS (R),EAS8,-82.611028,36.907565
EAS (R),EAS9,-82.614095,36.905087
FRY (MI),FRY1,-82.217503,37.060201
FRY (MI),FRY2,-82.21587,37.057808
FRY (MI),FRY3,-82.214797,37.0555
FRY (MI),FRY4,-82.213011,37.053028
FRY (MI),FRY5,-82.210656,37.050746
FRY (MI),FRY6,-82.206418,37.04842
FRY (MI),FRY7,-82.205615,37.046121
FRY (MI),FRY8,-82.208548,37.044338
FRY (MI),FRY9,-82.211042,37.042697
LLW (MI),LLW1,-81.644787,37.746992
LLW (MI),LLW2,-81.643205,37.742078
LLW (MI),LLW3,-81.642084,37.739688
LLW (MI),LLW4,-81.642339,37.735613
LLW (MI),LLW5,-81.641056,37.733695
LLW (MI),LLW6,-81.637816,37.731455
ROL (MI),ROL1,-82.19588,37.013738
ROL (MI),ROL2,-82.1948,37.014525
ROL (MI),ROL3,-82.193845,37.016155
ROL (MI),ROL4,-82.19093,37.01869
ROL (MI),ROL5,-82.189213,37.0208
ROL (MI),ROL6,-82.190018,37.022866
ROL (MI),ROL7,-82.190962,37.024533
SPC (MI),SPC1,-81.91947,37.261416
SPC (MI),SPC2,-81.915307,37.26268
SPC (MI),SPC3,-81.911488,37.26309
SPC (MI),SPC4,-81.906037,37.264183
SPC (MI),SPC5,-81.902947,37.266095
SPC (MI),SPC6,-81.899042,37.268008
SPC (MI),SPC7,-81.89548,37.269067
SPC (MI),SPC8,-81.894165,37.270158
