taxon,family,order,tv,ffg,habit
Anchytarsus,Ptilodactylidae,Coleoptera,4,SH,CN
Ancyronyx,Elmidae,Coleoptera,NA,CG,CN
Dubiraphia,Elmidae,Coleoptera,4,CG,CN
Ectopria,Psephenidae,Coleoptera,4,SC,CN
Helichus,Dryopidae,Coleoptera,4,SC,CN
Hydrochus,Helophoridae,Coleoptera,6,SH,CN
Lara,Elmidae,Coleoptera,NA,SH,CN
Macronychus,Elmidae,Coleoptera,4,CG,CN
Optioservus,Elmidae,Coleoptera,4,SC,CN
Oulimnius,Elmidae,Coleoptera,4,SC,CN
Phanocerus,Elmidae,Coleoptera,5,SC,CN
Psephenus,Psephenidae,Coleoptera,4,SC,CN
Stenelmis,Elmidae,Coleoptera,1,SC,CN
Allognosta,Stratiomyidae,Diptera,8,CG,SP
Antocha,Tipulidae,Diptera,4,CG,CN
Atherix,Athericidae,Diptera,2,PR,SP
Atrichopogon,Ceratopogonidae,Diptera,6,PR,CN
Bezzia.Palpomyia,Ceratopogonidae,Diptera,6,PR,BU
Chelifera,Empididae,Diptera,4,CG,SP
Chironomidae,Chironomidae,Diptera,6,CG,BU
Chrysops,Tabanidae,Diptera,8,CG,SP
Clinocera,Empididae,Diptera,6,PR,CN
Dasyhelea,Ceratopogonidae,Diptera,6,CG,SP
Dicranota,Tipulidae,Diptera,4,PR,SP
Dixa,Dixidae,Diptera,1,CG,SW
Euparyphus,Stratiomyidae,Diptera,NA,CG,SP
Forcipomyia,Ceratopogonidae,Diptera,4,SC,BU
Glutops,Pelecorhynchidae,Diptera,NA,PR,NA
Hemerodromia,Empididae,Diptera,6,PR,SP
Hexatoma,Tipulidae,Diptera,1,PR,BU
Limnophila,Tipulidae,Diptera,4,PR,BU
Limonia,Tipulidae,Diptera,4,SH,BU
Megaselia,Phoridae ,Diptera,6,CG,NA
Molophilus,Tipulidae,Diptera,3,SH,BU
Neoplasta,Empididae,Diptera,6,PR,SP
Ormosia,Tipulidae,Diptera,4,CG,BU
Pedicia,Tipulidae,Diptera,6,PR,BU
Pericoma.Telmatoscopus,Psychodidae,Diptera,7,CG,BU
Pilaria,Tipulidae,Diptera,6,PR,BU
Prosimulium,Simuliidae,Diptera,7,CF,CN
Pseudosmittia,Chironomidae,Diptera,NA,NA,NA
Rhamphomyia,Empididae,Diptera,6,PR,SP
Roederiodes,Empididae,Diptera,6,PR,SP
Simulium,Simuliidae,Diptera,3,CF,CN
Stilobezzia,Ceratopogonidae,Diptera,6,PR,SP
Tabanus,Tabanidae,Diptera,7,PR,SP
Tipula,Tipulidae,Diptera,4,SH,BU
Tipulidae,Tipulidae,Diptera,4,SH,BU
Acentrella,Baetidae,Ephemeroptera,4,CG,SW
Acerpenna,Baetidae,Ephemeroptera,4,SH,SW
Ameletus,Ameletidae,Ephemeroptera,1,CG,SW
Attenella,Ephemerellidae,Ephemeroptera,1,CG,CN
Baetis,Baetidae,Ephemeroptera,2,CG,SW
Baetisca,Baetistidae,Ephemeroptera,4,CG,SP
Cinygmula,Heptageniidae,Ephemeroptera,1,SC,CN
Diphetor,Baetidae,Ephemeroptera,4,CG,SW
Drunella,Ephemerellidae,Ephemeroptera,1,PR,CN
Epeorus,Heptageniidae,Ephemeroptera,0,SC,CN
Ephemera,Ephemeridae,Ephemeroptera,4,CG,BU
Ephemerella,Ephemerellidae,Ephemeroptera,2,CG,CN
Eurylophella,Ephemerellidae,Ephemeroptera,4,SC,CN
Habrophlebia,Leptophlebiidae,Ephemeroptera,1,NA,SW
