taxon,family,order
Acentrella,Baetidae,Ephemeroptera
Acerpenna,Baetidae,Ephemeroptera
Acroneuria,Perlidae,Plecoptera
Agapetus,Glossosomatidae,Trichoptera
Allocapnia,Capniidae,Plecoptera
Allognosta,Stratiomyidae,Diptera
Alloperla,Chloroperlidae,Plecoptera
Ameletus,Ameletidae,Ephemeroptera
Amphinemura,Nemouridae,Plecoptera
Anchytarsus,Ptilodactylidae,Coleoptera
Ancyronyx,Elmidae,Coleoptera
Antocha,Tipulidae,Diptera
Apatania,Apataniidae,Trichoptera
Asellus,Asellidae,Isopoda
Atherix,Athericidae,Diptera
Atrichopogon,Ceratopogonidae,Diptera
Attaneuria,Perlidae,Plecoptera
Attenella,Ephemerellidae,Ephemeroptera
Baetis,Baetidae,Ephemeroptera
Baetisca,Baetistidae,Ephemeroptera
Beloneuria,Perlidae,Plecoptera
Bezzia.Palpomyia,Ceratopogonidae,Diptera
Boyeria,Aeshnidae,Odonata
Brachycentrus,Brachycentridae,Trichoptera
Calopteryx,Calopterygidae,Odonata
Ceratopsyche,Hydropsychidae,Trichoptera
Cernotina,Polycentropodidae,Trichoptera
Chelifera,Empididae,Diptera
Cheumatopsyche,Hydropsychidae,Trichoptera
Chimarra,Philopotamidae,Trichoptera
Chironomidae,Chironomidae,Diptera
Chrysops,Tabanidae,Diptera
Cinygmula,Heptageniidae,Ephemeroptera
Clinocera,Empididae,Diptera
Cordulegaster,Cordulegastridae,Odonata
Cultus,Perlodidae,Plecoptera
Cyrnellus,Polycentropodidae,Trichoptera
Dasyhelea,Ceratopogonidae,Diptera
Dibusa,Hydroptilidae,Trichoptera
Dicranota,Tipulidae,Diptera
Diphetor,Baetidae,Ephemeroptera
Diplectrona,Hydropsychidae,Trichoptera
Diploperla,Perlodidae,Plecoptera
Diura,Perlodidae,Plecoptera
Dixa,Dixidae,Diptera
Dolophilodes,Philopotamidae,Trichoptera
Drunella,Ephemerellidae,Ephemeroptera
Dubiraphia,Elmidae,Coleoptera
Eccoptura,Perlidae,Plecoptera
Ectopria,Psephenidae,Coleoptera
Epeorus,Heptageniidae,Ephemeroptera
Ephemera,Ephemeridae,Ephemeroptera
Ephemerella,Ephemerellidae,Ephemeroptera
Euparyphus,Stratiomyidae,Diptera
Eurylophella,Ephemerellidae,Ephemeroptera
Forcipomyia,Ceratopogonidae,Diptera
Glossosoma,Glossosomatidae,Trichoptera
Glutops,Pelecorhynchidae,Diptera
Goera,Goeridae,Trichoptera
Gomphus,Gomphidae,Odonata
Habrophlebia,Leptophlebiidae,Ephemeroptera
Habrophlebiodes,Leptophlebiidae,Ephemeroptera
Hansonoperla,Perlidae,Plecoptera
Haploperla,Chloroperlidae,Plecoptera
Helichus,Dryopidae,Coleoptera
Hemerodromia,Empididae,Diptera
Heptagenia,Heptageniidae,Ephemeroptera
Heterocloeon,Baetidae,Ephemeroptera
Hexatoma,Tipulidae,Diptera
Homoplectra,Hydropsychidae,Trichoptera
Hydatophylax,Limnephilidae,Trichoptera
Hydrochus,Helophoridae,Coleoptera
Hydropsyche,Hydropsychidae,Trichoptera
Hydroptila,Hydroptilidae,Trichoptera
Isogenoides,Perlodidae,Plecoptera
Isonychia,Isonychiidae,Ephemeroptera
Isoperla,Perlodidae,Plecoptera
Lanthus,Gomphidae,Odonata
